,0
vm_percent,22.266666666666666
swap_percent,0.5
cpuloadavg_1min,18.082682291666668
cpuloadavg_5min,14.898681640625
cpu_0,2137.0586666666663
cpu_1,3079.497666666666
cpu_psi_total,650399865.0
mem_psi_total,106372248.0
io_psi_total,30380874707.333332
acc,37.60000169277191
prune_config,ln_structured
prune_ratio,0.30000000000000004
model_name,alexnet
batchsz_arg,32
num_workers_arg,1
chipset_name,AMD Ryzen 7 3700X 8-Core Processor
arch,x86_64
l1_size,256 KiB (8 instances)
l2_size,4 MiB (8 instances)
