,0
vm_percent,26.099999999999998
swap_percent,0.0
cpuloadavg_1min,16.764322916666668
cpuloadavg_5min,17.686631944444443
cpu_0,3819.9869999999996
cpu_1,2818.950666666666
cpu_psi_total,94535258.33333333
mem_psi_total,217121.0
io_psi_total,926616170.3333334
acc,1.0000000707805157
prune_config,random_unstructured
prune_ratio,0.2
model_name,resnet
batchsz_arg,64
num_workers_arg,1
chipset_name,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
arch,x86_64
l1_size,192 KiB (6 instances)
l2_size,1.5 MiB (6 instances)
