,0
vm_percent,25.049999999999997
swap_percent,0.0
cpuloadavg_1min,19.539388020833332
cpuloadavg_5min,20.906575520833332
cpu_0,3663.5820000000003
cpu_1,3673.2740000000003
cpu_psi_total,177167047.0
mem_psi_total,223036.0
io_psi_total,1037619631.0
acc,NDF-OOM
prune_config,random_unstructured
prune_ratio,0.6000000000000001
model_name,googlenet
batchsz_arg,128
num_workers_arg,2
chipset_name,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
arch,x86_64
l1_size,192 KiB (6 instances)
l2_size,1.5 MiB (6 instances)
