,0
vm_percent,26.033333333333335
swap_percent,0.0
cpuloadavg_1min,21.23074001736111
cpuloadavg_5min,17.317708333333332
cpu_0,4169.848333333333
cpu_1,4182.528666666666
cpu_psi_total,111448104.33333333
mem_psi_total,217134.0
io_psi_total,945731043.6666666
acc,53.800004720687866
prune_config,l1_unstructured
prune_ratio,0.7000000000000001
model_name,alexnet
batchsz_arg,4
num_workers_arg,2
chipset_name,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
arch,x86_64
l1_size,192 KiB (6 instances)
l2_size,1.5 MiB (6 instances)
