,time,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,cpu_8,cpu_9,cpu_10,cpu_11,cpu_12,cpu_13,cpu_14,cpu_15,cpu_psi_total,cpu_psi_avg10,cpu_psi_avg60,cpu_psi_avg300,mem_psi_total,mem_psi_avg10,mem_psi_avg60,mem_psi_avg300,io_psi_total,io_psi_avg10,io_psi_avg60,io_psi_avg300,gpu_GPU_Load_1,gpu_GPU_Memory_Used_1,gpu_GPU_Total_Memory_1,cpuloadavg_1min,cpuloadavg_5min,cpuloadavg_15min,vm_total,vm_available,vm_percent,vm_used,vm_free,vm_active,vm_inactive,vm_buffers,vm_cached,vm_shared,vm_slab,swap_total,swap_used,swap_free,swap_percent,swap_sin,swap_sout,diskio_read_count,diskio_write_count,diskio_read_bytes,diskio_write_bytes,diskio_read_time,diskio_write_time,diskio_read_merged_count,diskio_write_merged_count,diskio_busy_time
0,2024-04-18 19:02:05.250714,2111.935,2200.0,3919.589,3446.933,2200.0,2139.951,2200.0,2133.079,2025.874,2143.304,3765.672,3533.203,3713.291,2200.0,4269.4,2138.975,662542789.0,0.0,0.04,0.06,106372648.0,0.0,0.0,0.0,30455171359.0,1.16,1.56,2.06,1,872,12288,13.7847900390625,15.73486328125,15.966796875,50418458624,39351808000,21.9,10177966080,6865219584,14387781632,26057183232,1509679104,31865593856,280199168,2350972928,99998494720,455307264,99543187456,0.5,1125675008,4198232064,1810267,4449681,86588674048,357389181952,37371293,176521045,307840,4922758,50734536
1,2024-04-18 19:02:07.456695,4138.764,2200.0,2074.999,3819.299,2200.0,2200.078,2200.0,2200.0,4141.885,2072.978,2200.0,2200.0,2200.0,2799.962,2200.0,2013.651,662546123.0,0.0,0.04,0.06,106372648.0,0.0,0.0,0.0,30455178465.0,1.67,1.64,2.07,2,875,12288,13.7847900390625,15.73486328125,15.966796875,50418458624,38567399424,23.5,10960146432,6080790528,15147941888,26057203712,1509687296,31867834368,282427392,2351472640,99998494720,455307264,99543187456,0.5,1125675008,4198232064,1810267,4449695,86588674048,357389374464,37371293,176521142,307840,4922775,50734640
2,2024-04-18 19:02:09.664358,2200.0,4149.65,2200.0,2200.0,4172.154,2200.0,4081.301,2087.305,2074.931,4160.453,2200.0,3745.733,4185.674,2086.881,3600.0,2200.0,662552692.0,0.0,0.03,0.05,106372648.0,0.0,0.0,0.0,30455184561.0,1.12,1.54,2.04,1,11607,12288,13.6810302734375,15.679931640625,15.9454345703125,50418458624,38286716928,24.1,10962112512,5799968768,15340474368,26057228288,1509711872,32146665472,561143808,2354356224,99998494720,455307264,99543187456,0.5,1125675008,4198232064,1810267,4449722,86588674048,357390394368,37371293,176521237,307840,4922828,50734728
