,0
vm_percent,25.53333333333333
swap_percent,0.5
cpuloadavg_1min,17.7337646484375
cpuloadavg_5min,20.794677734375
cpu_0,2858.2630000000004
cpu_1,2858.0776666666666
cpu_psi_total,682095443.6666666
mem_psi_total,106372711.0
io_psi_total,30586065081.333332
acc,32.8000009059906
prune_config,ln_structured
prune_ratio,0.6000000000000001
model_name,googlenet
batchsz_arg,32
num_workers_arg,1
chipset_name,AMD Ryzen 7 3700X 8-Core Processor
arch,x86_64
l1_size,256 KiB (8 instances)
l2_size,4 MiB (8 instances)
