,0
vm_percent,27.016666666666666
swap_percent,0.0
cpuloadavg_1min,12.599012586805555
cpuloadavg_5min,13.095431857638888
cpu_0,3846.0511666666675
cpu_1,3849.6248333333333
cpu_psi_total,149335282.16666666
mem_psi_total,220651.0
io_psi_total,1005751167.5
acc,69.80000138282776
prune_config,random_unstructured
prune_ratio,0.30000000000000004
model_name,vgg16
batchsz_arg,8
num_workers_arg,4
chipset_name,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
arch,x86_64
l1_size,192 KiB (6 instances)
l2_size,1.5 MiB (6 instances)
