,0
vm_percent,21.766666666666666
swap_percent,0.5
cpuloadavg_1min,16.524251302083332
cpuloadavg_5min,16.362508138020832
cpu_0,2484.9566666666665
cpu_1,2829.4503333333328
cpu_psi_total,638630602.0
mem_psi_total,106372248.0
io_psi_total,30314686078.0
acc,0.4000000189989805
prune_config,random_unstructured
prune_ratio,0.30000000000000004
model_name,resnet
batchsz_arg,32
num_workers_arg,1
chipset_name,AMD Ryzen 7 3700X 8-Core Processor
arch,x86_64
l1_size,256 KiB (8 instances)
l2_size,4 MiB (8 instances)
