,0
vm_percent,26.03333333333333
swap_percent,0.0
cpuloadavg_1min,21.43283420138889
cpuloadavg_5min,16.95285373263889
cpu_0,3903.1956666666665
cpu_1,3891.4713333333334
cpu_psi_total,126542104.66666667
mem_psi_total,220651.0
io_psi_total,964983622.3333334
acc,40.6000018119812
prune_config,random_unstructured
prune_ratio,0.4
model_name,alexnet
batchsz_arg,8
num_workers_arg,2
chipset_name,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
arch,x86_64
l1_size,192 KiB (6 instances)
l2_size,1.5 MiB (6 instances)
