,0
vm_percent,20.633333333333333
swap_percent,0.5
cpuloadavg_1min,34.998575846354164
cpuloadavg_5min,26.125081380208332
cpu_0,3543.9233333333336
cpu_1,2844.5013333333336
cpu_psi_total,639877701.6666666
mem_psi_total,106372248.0
io_psi_total,30324750516.666668
acc,0.20000000949949026
prune_config,random_unstructured
prune_ratio,0.6000000000000001
model_name,resnet
batchsz_arg,32
num_workers_arg,1
chipset_name,AMD Ryzen 7 3700X 8-Core Processor
arch,x86_64
l1_size,256 KiB (8 instances)
l2_size,4 MiB (8 instances)
