,0
vm_percent,25.46666666666667
swap_percent,0.0
cpuloadavg_1min,12.030707465277779
cpuloadavg_5min,16.710069444444446
cpu_0,4101.734666666666
cpu_1,4087.273333333333
cpu_psi_total,115207517.33333333
mem_psi_total,220651.0
io_psi_total,950334367.0
acc,39.60000276565552
prune_config,ln_structured
prune_ratio,0.30000000000000004
model_name,alexnet
batchsz_arg,128
num_workers_arg,2
chipset_name,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
arch,x86_64
l1_size,192 KiB (6 instances)
l2_size,1.5 MiB (6 instances)
