,0
vm_percent,25.900000000000002
swap_percent,0.0
cpuloadavg_1min,18.286132812500004
cpuloadavg_5min,20.445421006944446
cpu_0,3928.625666666667
cpu_1,3827.9576666666667
cpu_psi_total,177428122.66666666
mem_psi_total,223036.0
io_psi_total,1037769532.3333334
acc,56.2000036239624
prune_config,random_unstructured
prune_ratio,0.6000000000000001
model_name,googlenet
batchsz_arg,32
num_workers_arg,8
chipset_name,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
arch,x86_64
l1_size,192 KiB (6 instances)
l2_size,1.5 MiB (6 instances)
