,time,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,cpu_8,cpu_9,cpu_10,cpu_11,cpu_12,cpu_13,cpu_14,cpu_15,cpu_16,cpu_17,cpu_18,cpu_19,cpu_20,cpu_21,cpu_22,cpu_23,cpu_24,cpu_25,cpu_26,cpu_27,cpu_28,cpu_29,cpu_30,cpu_31,cpu_32,cpu_33,cpu_34,cpu_35,cpu_36,cpu_37,cpu_38,cpu_39,cpu_40,cpu_41,cpu_42,cpu_43,cpu_44,cpu_45,cpu_46,cpu_47,cpu_48,cpu_49,cpu_50,cpu_51,cpu_52,cpu_53,cpu_54,cpu_55,cpu_56,cpu_57,cpu_58,cpu_59,cpu_60,cpu_61,cpu_62,cpu_63,cpu_64,cpu_65,cpu_66,cpu_67,cpu_68,cpu_69,cpu_70,cpu_71,cpu_psi_total,cpu_psi_avg10,cpu_psi_avg60,cpu_psi_avg300,mem_psi_total,mem_psi_avg10,mem_psi_avg60,mem_psi_avg300,io_psi_total,io_psi_avg10,io_psi_avg60,io_psi_avg300,gpu_GPU_Load_1,gpu_GPU_Memory_Used_1,gpu_GPU_Total_Memory_1,cpuloadavg_1min,cpuloadavg_5min,cpuloadavg_15min,vm_total,vm_available,vm_percent,vm_used,vm_free,vm_active,vm_inactive,vm_buffers,vm_cached,vm_shared,vm_slab,swap_total,swap_used,swap_free,swap_percent,swap_sin,swap_sout,diskio_read_count,diskio_write_count,diskio_read_bytes,diskio_write_bytes,diskio_read_time,diskio_write_time,diskio_read_merged_count,diskio_write_merged_count,diskio_busy_time
0,2024-04-18 05:35:58.645702,1000.067,1310.278,1000.541,1000.071,1000.075,1000.782,1000.146,1000.522,1000.533,1000.519,1000.202,1000.243,1000.541,1000.126,1000.54,1000.36,1000.661,1000.589,1541.607,1169.702,1000.017,1000.287,1000.199,1000.422,1000.485,1000.372,1000.307,1000.584,1000.562,1000.86,1000.457,1000.54,1000.532,1000.493,1000.925,1454.106,1001.658,1124.751,1001.157,1001.013,1001.221,1000.607,1001.391,1001.001,1000.936,1000.783,1001.151,1000.432,1000.248,1000.439,1000.589,1000.259,1000.607,1000.493,1539.487,1925.967,1000.005,1000.02,1001.016,1000.742,1000.966,1000.858,1000.713,1000.714,1000.626,1000.178,1013.48,1009.09,1015.736,1019.076,1023.78,1427.26,353310548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192647812.0,0.0,0.0,0.0,0,6,23040,1.4861111111111112,1.5000000000000002,1.5138888888888888,404328329216,399399903232,1.2,2228862976,364242010112,8624508928,28077641728,797949952,37059506176,8577024,2407145472,2147479552,0,2147479552,0.0,0,0,59100,1244361,2012013056,50367779840,18276,2946040,13526,636747,2038448
1,2024-04-18 05:36:00.914829,1000.06,1008.99,1000.158,1000.121,1000.065,1000.165,1000.067,1000.15,1000.118,1000.113,1000.101,1000.097,1000.087,1000.144,1000.134,1000.158,1000.129,1000.221,1326.205,1509.684,2153.827,1270.485,1405.775,1629.955,1502.003,1904.655,1988.131,2706.321,2749.645,2233.858,2113.198,2807.449,2410.189,2764.013,2291.031,3137.281,1000.196,1057.131,1000.115,1000.106,1000.195,1000.139,1000.263,1000.134,1000.155,1000.126,1000.139,1000.188,1000.181,1000.201,1000.198,1000.155,1000.192,1000.224,1652.686,1576.873,2182.465,1292.84,1548.659,1790.614,1598.344,2854.146,2219.703,2816.693,2639.689,1189.446,2133.385,1943.992,2099.714,2000.904,1970.235,3445.715,353386747.0,0.54,0.09,0.02,0.0,0.0,0.0,0.0,192647812.0,0.0,0.0,0.0,0,6,23040,1.4861111111111112,1.5000000000000002,1.5138888888888888,404328329216,399101202432,1.3,2528641024,363942457344,8902479872,28078096384,797949952,37059280896,8253440,2407473152,2147479552,0,2147479552,0.0,0,0,59100,1244361,2012013056,50367779840,18276,2946040,13526,636747,2038448
2,2024-04-18 05:36:03.209459,1000.072,1000.472,1000.237,1000.136,1000.663,1000.774,1000.121,1000.294,1000.679,1000.438,1000.2,1000.338,1000.612,1000.853,1000.685,1000.698,1000.526,1000.804,1196.187,1601.312,1411.971,1556.656,1600.755,1600.851,1212.752,1548.911,1601.421,1601.469,1601.012,1338.948,2300.88,1533.605,2204.527,1601.033,1681.679,3045.658,1001.169,1000.411,1000.742,1001.144,1000.662,1000.697,1001.234,1000.381,1000.912,1000.474,1000.425,1000.754,1000.859,1000.476,1000.732,1000.679,1000.721,1000.827,1671.697,1601.104,1535.908,1554.76,1600.979,1600.578,1221.695,1542.14,1600.475,1601.17,1600.786,1572.508,2301.625,1253.173,2192.807,1600.797,1971.242,3621.286,353387296.0,0.44,0.09,0.02,0.0,0.0,0.0,0.0,192648299.0,0.0,0.0,0.0,4,472,23040,1.4861111111111112,1.5000000000000002,1.5138888888888888,404328329216,397720076288,1.6,3899281408,362560790528,10160173056,28089016320,797949952,37070307328,18739200,2414010368,2147479552,0,2147479552,0.0,0,0,59100,1244406,2012013056,50368050176,18276,2946106,13526,636767,2038488
3,2024-04-18 05:36:05.506626,1000.052,1000.613,1000.866,1000.5,1000.024,1000.413,1000.133,1000.142,1000.832,1000.774,1000.562,1000.809,1000.623,1000.671,1000.836,1000.204,1000.331,1000.285,1869.209,1176.891,1000.053,1549.899,1482.226,1600.816,1357.746,1284.244,1601.056,1600.433,1600.599,1250.117,2301.008,1351.224,2204.422,1600.868,2177.601,3155.655,1001.726,1001.178,1000.791,1000.412,1000.5,1000.356,1002.126,1000.893,1000.607,1000.716,1000.073,1000.607,1000.709,1000.82,1000.283,1001.151,1000.519,1000.783,1394.409,1126.481,1000.687,1410.598,1485.198,1601.151,1364.363,1320.553,1601.26,1600.725,1600.697,1261.166,2301.322,1358.633,2192.004,1600.439,2205.085,3617.092,353387542.0,0.36,0.09,0.01,0.0,0.0,0.0,0.0,192648299.0,0.0,0.0,0.0,10,4176,23040,1.4861111111111112,1.5000000000000002,1.5138888888888888,404328329216,398059925504,1.6,3559432192,362900639744,9819856896,28089016320,797949952,37070307328,18739200,2414518272,2147479552,0,2147479552,0.0,0,0,59100,1244406,2012013056,50368050176,18276,2946106,13526,636767,2038488
4,2024-04-18 05:36:07.802098,1000.049,1000.177,1000.534,1000.514,1000.753,1000.312,1000.223,1000.791,1000.417,1000.606,1000.748,1000.67,1000.737,1000.613,1000.614,1000.782,1000.691,1000.664,1886.376,1000.289,1000.106,1415.846,1568.44,1601.205,1214.129,1494.765,1601.63,1600.836,1406.101,1540.107,2596.394,1531.322,2349.423,1601.37,2310.035,3155.364,1001.147,1000.748,1000.835,1000.701,1000.9,1000.549,1001.397,1000.636,1000.539,1000.61,1000.366,1000.596,1000.728,1000.271,1000.686,1000.274,1000.668,1000.388,1420.797,1000.656,1000.893,1534.782,1484.436,1600.498,1364.44,1280.982,1600.954,1601.009,1541.791,1417.72,2585.649,1254.989,2308.343,1600.709,2367.706,3613.179,353387825.0,0.24,0.08,0.01,0.0,0.0,0.0,0.0,192648374.0,0.0,0.0,0.0,81,4216,23040,1.4861111111111112,1.5000000000000002,1.5138888888888888,404328329216,398056304640,1.6,3563053056,362897018880,9822670848,28089016320,797949952,37070307328,18739200,2414518272,2147479552,0,2147479552,0.0,0,0,59100,1244427,2012013056,50368160768,18276,2946154,13526,636773,2038512
5,2024-04-18 05:36:10.102489,1000.056,1000.777,1000.417,1000.591,1000.893,1000.827,1000.145,1000.853,1000.607,1000.528,1000.661,1000.759,1000.567,1000.153,1000.762,1000.686,1000.742,1000.323,1897.148,1000.769,1000.08,1414.378,1530.298,1601.006,1357.733,1582.051,1601.461,1600.564,1343.973,1531.849,2604.353,1536.659,2336.438,1600.916,2310.91,3146.499,1001.106,1000.556,1000.625,1000.3,1000.673,1000.74,1001.091,1000.573,1000.485,1000.948,1000.821,1000.329,1000.318,1000.624,1000.473,1000.493,1000.568,1000.868,1424.406,1000.583,1000.641,1533.03,1357.803,1600.561,1363.562,1365.815,1600.951,1600.943,1356.832,1252.795,2577.858,1421.647,1967.95,1600.469,2357.375,3616.773,353388002.0,0.19,0.08,0.01,0.0,0.0,0.0,0.0,192648374.0,0.0,0.0,0.0,98,4216,23040,1.4722222222222223,1.5000000000000002,1.5000000000000002,404328329216,398055272448,1.6,3564085248,362895986688,9823686656,28089016320,797949952,37070307328,18739200,2414514176,2147479552,0,2147479552,0.0,0,0,59100,1244427,2012013056,50368160768,18276,2946154,13526,636773,2038512
6,2024-04-18 05:36:12.397878,1000.055,1000.556,1000.387,1000.688,1000.744,1000.441,1000.195,1000.424,1000.51,1000.675,1000.512,1000.524,1000.517,1000.679,1000.392,1000.91,1000.681,1000.268,1819.905,1000.475,1001.003,1549.153,1287.387,1600.847,1357.679,1515.201,1601.465,1600.807,1341.911,1353.887,2600.313,1538.297,2334.996,1601.19,2388.048,3039.007,1001.238,1001.035,1000.664,1001.065,1000.564,1000.81,1001.008,1000.571,1000.533,1000.481,1000.904,1000.746,1000.629,1000.563,1001.054,1000.421,1000.722,1000.621,1524.539,1000.541,1000.6,1542.16,1535.415,1600.537,1363.589,1499.85,1601.208,1600.85,1356.45,1419.816,2591.2,1419.71,1965.821,1600.791,2429.262,3621.616,353388135.0,0.16,0.07,0.01,0.0,0.0,0.0,0.0,192648596.0,0.0,0.0,0.0,7,4216,23040,1.4722222222222223,1.5000000000000002,1.5000000000000002,404328329216,398052700160,1.6,3566657536,362893414400,9825931264,28089020416,797954048,37070303232,18739200,2414514176,2147479552,0,2147479552,0.0,0,0,59100,1244429,2012013056,50368173056,18276,2946167,13526,636774,2038528
7,2024-04-18 05:36:14.695090,1000.051,1000.921,1000.589,1000.432,1000.77,1000.621,1000.06,1000.613,1000.871,1000.504,1000.771,1000.637,1000.681,1000.516,1000.638,1000.573,1000.69,1000.295,1879.008,1000.669,1000.698,1414.888,1281.737,1601.083,1223.663,1510.208,1601.602,1601.266,1348.017,1352.283,2602.19,1355.976,2336.494,1601.131,2420.481,3191.304,1001.523,1000.559,1000.938,1000.939,1000.795,1000.433,1001.117,1000.736,1000.996,1000.611,1000.713,1000.817,1000.59,1000.616,1000.332,1000.554,1000.829,1000.378,1425.608,1000.839,1000.402,1533.379,1160.915,1600.846,1363.177,1439.546,1601.085,1599.959,1357.315,1420.744,2581.594,1422.062,1974.914,1601.005,2454.82,3613.581,353388356.0,0.13,0.07,0.01,0.0,0.0,0.0,0.0,192648596.0,0.0,0.0,0.0,2,4216,23040,1.4722222222222223,1.4861111111111112,1.5000000000000002,404328329216,398050385920,1.6,3568967680,362891100160,9828855808,28089020416,797954048,37070307328,18739200,2414514176,2147479552,0,2147479552,0.0,0,0,59100,1244429,2012013056,50368173056,18276,2946167,13526,636774,2038528
8,2024-04-18 05:36:16.994686,1000.058,1000.062,1000.726,1000.155,1000.495,1000.279,1000.122,1000.623,1000.902,1000.483,1000.61,1000.955,1000.538,1000.396,1000.617,1000.703,1000.535,1000.412,2034.853,1001.06,1000.954,1549.53,1540.393,1601.337,1189.884,1359.469,1600.827,1601.174,1351.885,1321.142,2601.271,1285.631,2335.383,1601.215,2378.708,3043.92,1001.396,1000.372,1000.73,1000.676,1000.709,1000.709,1001.069,1000.606,1000.472,1000.777,1000.731,1000.564,1000.664,1000.46,1000.877,1000.778,1000.369,1000.54,1686.499,1000.573,1000.428,1413.752,1429.06,1600.756,1303.601,1510.215,1600.316,1600.845,1549.018,1544.413,2581.493,1532.555,1965.48,1600.878,2429.135,3602.795,353390068.0,0.1,0.07,0.01,0.0,0.0,0.0,0.0,192648648.0,0.0,0.0,0.0,11,4216,23040,1.4722222222222223,1.4861111111111112,1.5000000000000002,404328329216,398047805440,1.6,3571544064,362888519680,9831436288,28089024512,797958144,37070307328,18739200,2414518272,2147479552,0,2147479552,0.0,0,0,59100,1244431,2012013056,50368197632,18276,2946176,13526,636778,2038544
9,2024-04-18 05:36:19.290105,1000.083,1000.057,1000.257,1000.653,1000.665,1000.486,1000.168,1000.374,1000.729,1000.664,1000.666,1000.491,1000.681,1000.605,1000.805,1000.758,1000.374,1000.795,1974.052,1000.519,1000.428,1549.804,1349.934,1601.36,1187.669,1421.463,1601.381,1600.778,1532.11,1352.501,2597.923,1349.283,2350.133,1600.952,2392.52,3038.718,1001.72,1000.766,1000.547,1000.37,1000.355,1000.462,1000.306,1000.55,1000.675,1000.58,1000.411,1000.077,1000.924,1000.496,1000.318,1000.753,1000.673,1000.618,1608.592,1000.669,1000.858,1408.893,1358.24,1600.588,1143.277,1533.661,1601.089,1600.876,1357.405,1417.731,2589.36,1254.397,2309.271,1600.765,2458.498,3612.146,353390206.0,0.08,0.07,0.01,0.0,0.0,0.0,0.0,192648648.0,0.0,0.0,0.0,15,4860,23040,1.4583333333333333,1.4861111111111112,1.5000000000000002,404328329216,398038224896,1.6,3581124608,362878939136,9841057792,28089024512,797958144,37070307328,18739200,2414551040,2147479552,0,2147479552,0.0,0,0,59100,1244439,2012013056,50368295936,18276,2946221,13526,636778,2038552
