,time,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,cpu_8,cpu_9,cpu_10,cpu_11,cpu_12,cpu_13,cpu_14,cpu_15,cpu_16,cpu_17,cpu_18,cpu_19,cpu_20,cpu_21,cpu_22,cpu_23,cpu_24,cpu_25,cpu_26,cpu_27,cpu_28,cpu_29,cpu_30,cpu_31,cpu_32,cpu_33,cpu_34,cpu_35,cpu_36,cpu_37,cpu_38,cpu_39,cpu_40,cpu_41,cpu_42,cpu_43,cpu_44,cpu_45,cpu_46,cpu_47,cpu_48,cpu_49,cpu_50,cpu_51,cpu_52,cpu_53,cpu_54,cpu_55,cpu_56,cpu_57,cpu_58,cpu_59,cpu_60,cpu_61,cpu_62,cpu_63,cpu_64,cpu_65,cpu_66,cpu_67,cpu_68,cpu_69,cpu_70,cpu_71,cpu_psi_total,cpu_psi_avg10,cpu_psi_avg60,cpu_psi_avg300,mem_psi_total,mem_psi_avg10,mem_psi_avg60,mem_psi_avg300,io_psi_total,io_psi_avg10,io_psi_avg60,io_psi_avg300,gpu_GPU_Load_1,gpu_GPU_Memory_Used_1,gpu_GPU_Total_Memory_1,cpuloadavg_1min,cpuloadavg_5min,cpuloadavg_15min,vm_total,vm_available,vm_percent,vm_used,vm_free,vm_active,vm_inactive,vm_buffers,vm_cached,vm_shared,vm_slab,swap_total,swap_used,swap_free,swap_percent,swap_sin,swap_sout,diskio_read_count,diskio_write_count,diskio_read_bytes,diskio_write_bytes,diskio_read_time,diskio_write_time,diskio_read_merged_count,diskio_write_merged_count,diskio_busy_time
0,2024-04-18 18:10:26.581483,1000.048,1000.54,1000.163,1000.21,1000.632,1000.819,1000.286,1000.334,1000.34,1000.415,1000.51,1000.515,1000.427,1000.37,1000.489,1000.564,1000.432,1000.502,1098.056,2155.65,1147.407,1000.18,1000.583,1062.097,1000.322,1568.741,2760.945,1000.587,1000.727,1000.696,1000.969,1000.246,1000.334,1000.73,1000.425,1371.527,1000.172,1000.382,1000.647,1000.821,1000.221,1000.061,1000.983,1000.507,1000.897,1000.975,1000.757,1000.709,1000.559,1000.698,1000.88,1000.356,1000.738,1000.691,1640.75,2110.435,1100.026,1000.789,1000.673,1339.211,1000.934,1694.789,2320.062,1000.88,1000.534,1000.179,1000.1,1000.94,1001.156,1000.804,1000.525,1336.794,519385107.0,2.13,1.6,1.47,0.0,0.0,0.0,0.0,198544330.0,0.0,0.0,0.0,0,4,23040,2.9166666666666665,4.430555555555555,5.111111111111112,404328329216,399380725760,1.2,2249101312,363878469632,8707985408,28257857536,825937920,37374820352,8273920,2491400192,2147479552,0,2147479552,0.0,0,0,61339,1355792,2163487232,51962356736,18703,3197446,13756,711834,2198676
1,2024-04-18 18:10:28.846640,1000.061,1000.217,1000.172,1000.256,1000.205,1000.508,1000.285,1000.229,1000.219,1000.214,1000.295,1000.384,1000.214,1000.262,1000.132,1000.319,1000.328,1000.242,2172.071,2039.236,2117.867,2009.308,2249.152,2088.794,2088.252,1998.609,1858.952,2023.387,2067.359,2219.839,2177.142,1948.728,2093.105,2092.567,2091.609,3001.113,1000.461,1000.182,1000.266,1000.278,1000.283,1000.057,1000.263,1000.255,1000.222,1000.403,1000.328,1000.224,1000.246,1000.242,1000.295,1000.158,1000.273,1000.23,2171.409,1999.629,2138.526,2024.014,2215.792,2108.321,2108.237,2112.451,1851.438,2020.871,2063.367,2216.145,2169.716,1943.902,2091.846,2092.204,2092.628,3572.475,519455687.0,2.29,1.64,1.48,0.0,0.0,0.0,0.0,198544334.0,0.0,0.0,0.0,0,202,23040,2.9166666666666665,4.430555555555555,5.111111111111112,404328329216,398901104640,1.3,2719432704,363398832128,9046159360,28267159552,825937920,37384126464,17563648,2497163264,2147479552,0,2147479552,0.0,0,0,61339,1355833,2163487232,51962528768,18703,3197539,13756,711834,2198684
2,2024-04-18 18:10:31.139488,1000.072,1000.935,1000.684,1000.208,1000.831,1000.848,1000.969,1000.743,1000.698,1000.454,1000.793,1058.129,1000.08,1000.931,1000.645,1000.7,1000.731,1087.419,1000.524,1000.575,1000.58,1000.973,1000.471,1000.644,1000.838,2544.534,1000.704,1000.835,1000.289,1000.57,1000.757,1000.667,1000.41,1000.853,1000.414,3152.054,1001.21,1000.89,1000.878,1000.468,1000.502,1000.31,1000.881,1000.718,1000.37,1000.303,1000.777,1087.386,1000.541,1000.689,1000.307,1000.511,1000.806,1011.975,1000.123,1000.419,1000.499,1001.142,1000.567,1000.675,1000.745,2801.001,1000.663,1000.593,1000.556,1000.282,1000.666,1000.393,1000.689,1000.951,1000.488,3584.732,519483958.0,1.87,1.59,1.47,0.0,0.0,0.0,0.0,198544520.0,0.0,0.0,0.0,3,1198,23040,2.791666666666666,4.375,5.083333333333333,404328329216,397336215552,1.7,4239368192,361833910272,10551988224,28312125440,825937920,37429112832,62517248,2500939776,2147479552,0,2147479552,0.0,0,0,61339,1355835,2163487232,51962590208,18703,3197550,13756,711847,2198696
3,2024-04-18 18:10:33.443151,1000.078,1000.456,1000.748,1000.606,1000.627,1000.719,1000.773,1000.466,1000.619,1000.59,1001.098,1000.496,1000.734,1000.74,1000.628,1000.509,1000.946,1000.417,3609.695,1000.13,1000.312,1089.692,1000.732,1001.084,1000.623,1242.695,1000.432,1855.538,1000.811,1000.7,1000.671,1000.722,1001.009,1000.674,1000.613,1000.737,1000.729,1000.977,1001.312,1000.646,1000.389,1000.612,1001.057,1000.403,1000.628,1000.716,1000.291,1000.583,1000.949,1000.658,1000.512,1000.69,1000.447,1000.48,3517.756,1000.864,1000.583,1056.673,1000.69,1000.667,1000.885,1258.457,1000.756,1252.18,1000.545,1000.611,1000.637,1000.707,1000.687,1000.587,1000.711,1000.617,519484032.0,1.71,1.57,1.46,0.0,0.0,0.0,0.0,198544552.0,0.0,0.0,0.0,0,1060,23040,2.791666666666666,4.375,5.083333333333333,404328329216,397407334400,1.7,4167028736,361905020928,10477010944,28313018368,825937920,37430341632,63746048,2500804608,2147479552,0,2147479552,0.0,0,0,61339,1355837,2163487232,51962643456,18703,3197560,13756,711858,2198708
