,0
vm_percent,24.433333333333334
swap_percent,0.5
cpuloadavg_1min,11.832682291666666
cpuloadavg_5min,14.460245768229166
cpu_0,2785.2760000000003
cpu_1,2149.5136666666667
cpu_psi_total,672635072.0
mem_psi_total,106372648.0
io_psi_total,30527423396.0
acc,64.60000276565552
prune_config,random_unstructured
prune_ratio,0.6000000000000001
model_name,vgg16
batchsz_arg,4
num_workers_arg,1
chipset_name,AMD Ryzen 7 3700X 8-Core Processor
arch,x86_64
l1_size,256 KiB (8 instances)
l2_size,4 MiB (8 instances)
