,0
vm_percent,23.666666666666668
swap_percent,0.5
cpuloadavg_1min,23.308308919270832
cpuloadavg_5min,17.972819010416668
cpu_0,2831.2810000000004
cpu_1,2135.9103333333333
cpu_psi_total,667537507.3333334
mem_psi_total,106372648.0
io_psi_total,30488643276.0
acc,19.600000977516174
prune_config,ln_structured
prune_ratio,0.7000000000000001
model_name,vgg16
batchsz_arg,16
num_workers_arg,4
chipset_name,AMD Ryzen 7 3700X 8-Core Processor
arch,x86_64
l1_size,256 KiB (8 instances)
l2_size,4 MiB (8 instances)
