,0
vm_percent,20.733333333333334
swap_percent,0.5
cpuloadavg_1min,19.191487630208332
cpuloadavg_5min,22.513834635416668
cpu_0,2113.028333333333
cpu_1,2612.9886666666666
cpu_psi_total,631140093.3333334
mem_psi_total,106372248.0
io_psi_total,30257203931.0
acc,70.40000557899475
prune_config,l1_unstructured
prune_ratio,0.30000000000000004
model_name,resnet
batchsz_arg,16
num_workers_arg,1
chipset_name,AMD Ryzen 7 3700X 8-Core Processor
arch,x86_64
l1_size,256 KiB (8 instances)
l2_size,4 MiB (8 instances)
