,0
vm_percent,25.366666666666664
swap_percent,0.5
cpuloadavg_1min,20.215861002604168
cpuloadavg_5min,18.78662109375
cpu_0,2187.4223333333334
cpu_1,2187.159
cpu_psi_total,685631871.3333334
mem_psi_total,106372711.0
io_psi_total,30604727723.333332
acc,66.80000424385071
prune_config,random_unstructured
prune_ratio,0.30000000000000004
model_name,googlenet
batchsz_arg,4
num_workers_arg,1
chipset_name,AMD Ryzen 7 3700X 8-Core Processor
arch,x86_64
l1_size,256 KiB (8 instances)
l2_size,4 MiB (8 instances)
