,time,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,cpu_8,cpu_9,cpu_10,cpu_11,cpu_psi_total,cpu_psi_avg10,cpu_psi_avg60,cpu_psi_avg300,mem_psi_total,mem_psi_avg10,mem_psi_avg60,mem_psi_avg300,io_psi_total,io_psi_avg10,io_psi_avg60,io_psi_avg300,gpu_GPU_Load_1,gpu_GPU_Memory_Used_1,gpu_GPU_Total_Memory_1,cpuloadavg_1min,cpuloadavg_5min,cpuloadavg_15min,vm_total,vm_available,vm_percent,vm_used,vm_free,vm_active,vm_inactive,vm_buffers,vm_cached,vm_shared,vm_slab,swap_total,swap_used,swap_free,swap_percent,swap_sin,swap_sout,diskio_read_count,diskio_write_count,diskio_read_bytes,diskio_write_bytes,diskio_read_time,diskio_write_time,diskio_read_merged_count,diskio_write_merged_count,diskio_busy_time
0,2024-04-18 19:56:57.030056,4144.107,4126.8,4120.93,800.0,4194.3,4112.534,3956.868,4188.871,4188.758,4123.274,4137.957,4176.125,148985311.0,0.76,0.45,0.34,220651.0,0.0,0.0,0.0,1004825850.0,0.23,0.41,0.62,0,16,4096,15.865071614583334,13.712565104166666,13.850911458333334,16591138816,12774313984,23.0,2928242688,1961435136,4560338944,8594669568,237015040,11464445952,538701824,824467456,32766947328,274432,32766672896,0.0,0,61440,114396,136642,4789235200,15826753536,1946830,5150259,25391,249158,2299588
1,2024-04-18 19:56:59.263901,3609.878,3674.189,3693.449,3670.331,3684.428,3666.206,800.0,800.0,3679.882,800.0,800.0,3696.159,148986327.0,0.62,0.43,0.34,220651.0,0.0,0.0,0.0,1004845324.0,0.19,0.39,0.62,0,19,4096,15.2587890625,13.623046875,13.818359375,16591138816,12165337088,26.7,3522408448,1352445952,5129113600,8594681856,237015040,11479269376,553512960,824926208,32766947328,274432,32766672896,0.0,0,61440,114396,136643,4789235200,15826757632,1946830,5150260,25391,249158,2299592
2,2024-04-18 19:57:01.490239,4230.433,4314.621,4007.266,800.0,4167.744,800.0,4174.294,4325.117,4159.196,800.0,800.0,4311.295,149009350.0,0.51,0.42,0.34,220651.0,0.0,0.0,0.0,1004867508.0,0.15,0.38,0.61,30,3859,4096,15.2587890625,13.623046875,13.818359375,16591138816,11965997056,27.9,3541602304,1153093632,5242294272,8594694144,237027328,11659415552,733659136,831430656,32766947328,274432,32766672896,0.0,0,61440,114396,136646,4789235200,15826864128,1946830,5150370,25391,249181,2299704
