,0
vm_percent,25.866666666666664
swap_percent,0.0
cpuloadavg_1min,15.460883246527779
cpuloadavg_5min,13.652886284722221
cpu_0,3994.8060000000005
cpu_1,4038.536666666667
cpu_psi_total,148993662.66666666
mem_psi_total,220651.0
io_psi_total,1004846227.3333334
acc,NDF-OOM
prune_config,random_unstructured
prune_ratio,0.30000000000000004
model_name,vgg16
batchsz_arg,32
num_workers_arg,2
chipset_name,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
arch,x86_64
l1_size,192 KiB (6 instances)
l2_size,1.5 MiB (6 instances)
