,vm_percent,swap_percent,cpuloadavg_1min,cpuloadavg_5min,ratio,memory_consumption,acc,prune_config,prune_ratio,flops
0,50.343636363636385,0.1999999999999999,836.75537109375,980.5267333984375,0.0,188638822.4,98.17166924476624,global_unstructured-L1Unstructured,0.0,48672000000.0
1,76.78214285714286,0.19999999999999998,1265.0543212890625,1109.7869873046875,0.1,188638822.4,98.15500378608704,global_unstructured-L1Unstructured,0.1,48672000000.0
2,80.09818181818183,0.1999999999999999,977.4871826171875,1068.975830078125,0.2,188638822.4,98.15999865531921,global_unstructured-L1Unstructured,0.2,48672000000.0
3,81.54107142857141,0.19999999999999998,985.9375,992.2393798828125,0.3,188638822.4,98.0650007724762,global_unstructured-L1Unstructured,0.3,48672000000.0
4,81.01607142857142,0.19999999999999998,931.7291259765625,980.8380126953125,0.4,188638822.4,97.86666631698608,global_unstructured-L1Unstructured,0.4,48672000000.0
5,81.58363636363633,0.1999999999999999,871.4019775390625,896.17919921875,0.5,188638822.4,97.64333367347717,global_unstructured-L1Unstructured,0.5,48672000000.0
6,81.59821428571429,0.19999999999999998,872.9949951171875,892.4591064453125,0.6,188638822.4,97.16166853904724,global_unstructured-L1Unstructured,0.6,48672000000.0
7,82.52000000000001,0.1999999999999999,868.6859130859375,879.736328125,0.7,188638822.4,95.89166641235352,global_unstructured-L1Unstructured,0.7,48672000000.0
8,81.66607142857141,0.19999999999999998,1070.245361328125,964.825439453125,0.8,188638822.4,93.70166659355164,global_unstructured-L1Unstructured,0.8,48672000000.0
9,82.89464285714287,0.19999999999999998,978.5797119140625,997.4334716796875,0.9,188638822.4,59.11666750907898,global_unstructured-L1Unstructured,0.9,48672000000.0
