,vm_percent,swap_percent,cpuloadavg_1min,cpuloadavg_5min,ratio,acc,prune_config,prune_ratio
0,70.74591836734693,0.0,5080.775000000001,4884.699999999998,0.0,80.34600019454956,l1_unstructured-ratio-0.0,0.0
1,73.33870967741935,0.0,5315.675,5017.549999999999,0.1,80.2899956703186,l1_unstructured-ratio-0.1,0.1
2,74.9021505376344,0.0,5200.175000000001,5221.425000000001,0.2,80.21199703216553,l1_unstructured-ratio-0.2,0.2
3,75.30666666666667,0.0,4976.724999999998,5017.425,0.30000000000000004,79.60399985313416,l1_unstructured-ratio-0.30000000000000004,0.30000000000000004
4,75.5,0.0,4898.750000000001,5149.55,0.4,77.08199620246887,l1_unstructured-ratio-0.4,0.4
5,75.64494382022471,0.0,4776.425000000002,4889.25,0.5,70.62999606132507,l1_unstructured-ratio-0.5,0.5
6,75.35212765957449,0.0,4665.150000000001,4905.999999999999,0.6000000000000001,44.19399797916412,l1_unstructured-ratio-0.6000000000000001,0.6000000000000001
7,75.51827956989246,0.0,5508.824999999999,5367.749999999999,0.7000000000000001,1.9379999488592148,l1_unstructured-ratio-0.7000000000000001,0.7000000000000001
8,75.00978260869564,0.0,4484.800000000002,4839.325,0.8,0.09999999310821295,l1_unstructured-ratio-0.8,0.8
9,75.79673913043479,0.0,4439.875000000001,4641.650000000003,0.9,0.09999999310821295,l1_unstructured-ratio-0.9,0.9
