,vm_percent,swap_percent,cpuloadavg_1min,cpuloadavg_5min,ratio,memory_consumption,acc,prune_config,prune_ratio,flops
0,50.54821428571428,0.19999999999999998,603.9581298828125,577.8656005859375,0.0,188638822.4,98.17166924476624,global_unstructured-L1Unstructured,0.0,48672000000.0
1,77.7490909090909,0.1999999999999999,917.71240234375,784.161376953125,0.1,188638822.4,98.15500378608704,global_unstructured-L1Unstructured,0.1,48672000000.0
2,82.20357142857142,0.19999999999999998,853.41796875,804.3914794921875,0.2,188638822.4,98.10667037963867,global_unstructured-L1Unstructured,0.2,48672000000.0
3,83.97543859649122,0.19999999999999998,615.1336669921875,755.3680419921875,0.3,188638822.4,97.64333367347717,global_unstructured-L1Unstructured,0.3,48672000000.0
4,83.7245283018868,0.19999999999999993,620.0408935546875,682.2479248046875,0.4,188638822.4,96.02500200271606,global_unstructured-L1Unstructured,0.4,48672000000.0
5,85.27818181818182,0.1999999999999999,503.228759765625,582.7667236328125,0.5,188638822.4,84.54833626747131,global_unstructured-L1Unstructured,0.5,48672000000.0
6,84.63392857142857,0.19999999999999998,785.8123779296875,660.687255859375,0.6,188638822.4,31.548333168029785,global_unstructured-L1Unstructured,0.6,48672000000.0
7,85.96363636363635,0.1999999999999999,676.7181396484375,700.2197265625,0.7,188638822.4,13.753333687782288,global_unstructured-L1Unstructured,0.7,48672000000.0
8,85.6075471698113,0.19999999999999993,546.044921875,603.436279296875,0.8,188638822.4,10.441666841506958,global_unstructured-L1Unstructured,0.8,48672000000.0
9,86.31607142857142,0.19999999999999998,573.4588623046875,612.90283203125,0.9,188638822.4,10.441666841506958,global_unstructured-L1Unstructured,0.9,48672000000.0
