,0
vm_percent,23.766666666666666
swap_percent,0.5
cpuloadavg_1min,14.805094401041666
cpuloadavg_5min,14.58740234375
cpu_0,3475.849333333333
cpu_1,3214.4256666666674
cpu_psi_total,660963687.0
mem_psi_total,106372648.0
io_psi_total,30445626324.333332
acc,72.40000367164612
prune_config,l1_unstructured
prune_ratio,0.30000000000000004
model_name,vgg16
batchsz_arg,16
num_workers_arg,1
chipset_name,AMD Ryzen 7 3700X 8-Core Processor
arch,x86_64
l1_size,256 KiB (8 instances)
l2_size,4 MiB (8 instances)
