,time,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,cpu_8,cpu_9,cpu_10,cpu_11,cpu_12,cpu_13,cpu_14,cpu_15,cpu_16,cpu_17,cpu_18,cpu_19,cpu_20,cpu_21,cpu_22,cpu_23,cpu_24,cpu_25,cpu_26,cpu_27,cpu_28,cpu_29,cpu_30,cpu_31,cpu_32,cpu_33,cpu_34,cpu_35,cpu_36,cpu_37,cpu_38,cpu_39,cpu_40,cpu_41,cpu_42,cpu_43,cpu_44,cpu_45,cpu_46,cpu_47,cpu_48,cpu_49,cpu_50,cpu_51,cpu_52,cpu_53,cpu_54,cpu_55,cpu_56,cpu_57,cpu_58,cpu_59,cpu_60,cpu_61,cpu_62,cpu_63,cpu_64,cpu_65,cpu_66,cpu_67,cpu_68,cpu_69,cpu_70,cpu_71,cpu_psi_total,cpu_psi_avg10,cpu_psi_avg60,cpu_psi_avg300,mem_psi_total,mem_psi_avg10,mem_psi_avg60,mem_psi_avg300,io_psi_total,io_psi_avg10,io_psi_avg60,io_psi_avg300,gpu_GPU_Load_1,gpu_GPU_Memory_Used_1,gpu_GPU_Total_Memory_1,cpuloadavg_1min,cpuloadavg_5min,cpuloadavg_15min,vm_total,vm_available,vm_percent,vm_used,vm_free,vm_active,vm_inactive,vm_buffers,vm_cached,vm_shared,vm_slab,swap_total,swap_used,swap_free,swap_percent,swap_sin,swap_sout,diskio_read_count,diskio_write_count,diskio_read_bytes,diskio_write_bytes,diskio_read_time,diskio_write_time,diskio_read_merged_count,diskio_write_merged_count,diskio_busy_time
0,2024-04-18 19:44:00.894696,1000.088,1000.473,1000.821,1000.471,1000.583,1000.613,1000.469,1000.61,1045.295,1000.677,1000.28,1000.421,1000.514,1000.445,1000.281,1000.342,1000.6,1000.524,1040.655,1657.706,2699.873,1338.906,1000.66,1000.469,1000.639,1107.565,1000.51,1000.433,1000.514,1000.527,1000.704,1000.462,1000.228,1000.48,1000.399,1245.73,1000.159,1000.535,1000.508,1000.462,1000.791,1001.046,1001.113,1000.883,1074.806,1000.869,1000.64,1000.504,1000.734,1000.535,1000.685,1001.034,1000.743,1000.584,1021.119,1443.936,3585.967,1359.117,1000.778,1000.725,1000.801,1280.025,1000.903,1000.693,1000.862,1000.845,1000.667,1000.823,1000.778,1000.84,1000.54,1159.24,609750369.0,1.08,1.39,1.38,0.0,0.0,0.0,0.0,200118017.0,0.0,0.0,0.0,0,4,23040,1.7500000000000002,2.5277777777777777,3.958333333333333,404328329216,399391801344,1.2,2238038016,363870769152,8764391424,28207968256,831008768,37388513280,8269824,2495033344,2147479552,0,2147479552,0.0,0,0,61340,1375409,2163532288,52133172224,18708,3246695,13756,733023,2221316
1,2024-04-18 19:44:03.156036,1000.077,1000.287,1000.16,1000.649,1000.148,1001.003,1000.541,1000.602,1000.562,1000.621,1000.576,1000.227,1000.287,1000.657,1000.466,1000.4,1000.448,1000.442,2263.062,1919.722,2301.173,1259.984,1846.732,2301.174,2301.253,2533.882,2301.027,2191.361,2301.141,2300.71,2199.446,2301.092,2301.349,1926.123,2300.813,3229.983,1001.426,1000.922,1000.87,1000.16,1001.142,1000.143,1001.088,1000.617,1000.913,1000.287,1000.795,1000.486,1001.092,1000.824,1000.908,1000.789,1000.295,1000.841,2257.368,1908.975,2301.596,1222.731,1972.078,2301.418,2301.378,2686.346,2301.33,2266.982,2301.524,2301.261,2102.988,2301.155,2301.85,2206.923,2301.404,3687.958,609790460.0,1.08,1.37,1.38,0.0,0.0,0.0,0.0,200118031.0,0.0,0.0,0.0,0,6,23040,1.7500000000000002,2.5277777777777777,3.958333333333333,404328329216,398962647040,1.3,2667180032,363441598464,9171300352,28207980544,831021056,37388529664,8269824,2496073728,2147479552,0,2147479552,0.0,0,0,61340,1375411,2163532288,52133221376,18708,3246706,13756,733033,2221328
2,2024-04-18 19:44:05.418473,1000.087,1000.798,1000.018,1000.8,1000.592,1000.695,1000.54,1000.621,1000.89,999.917,1000.65,1000.726,1000.745,1000.563,1001.02,1000.346,1001.016,1000.665,3357.669,3343.78,3328.738,1000.75,1000.51,1000.546,1000.609,1000.375,2699.443,3099.786,3094.392,2849.465,1000.497,3322.923,1000.875,1000.448,1000.87,1000.097,1000.76,1000.466,1000.66,1000.346,1000.622,1000.977,1000.653,1001.25,1000.703,1000.714,1000.294,1000.74,1000.654,1000.457,1000.658,1000.989,1000.715,1000.704,3349.998,3251.657,3401.585,1000.469,1000.33,1000.672,1000.412,1000.524,3343.548,3365.175,3337.229,3346.586,1000.388,3104.167,1000.45,1000.501,1000.502,1000.904,609956795.0,2.33,1.58,1.42,0.0,0.0,0.0,0.0,200118781.0,0.0,0.0,0.0,0,1966,23040,1.7222222222222223,2.5138888888888893,3.944444444444444,404328329216,397640273920,1.7,3978969088,362119225344,10342191104,28218564608,831021056,37399113728,18853888,2505342976,2147479552,0,2147479552,0.0,0,0,61340,1375421,2163532288,52133266432,18708,3246751,13756,733033,2221336
3,2024-04-18 19:44:07.714874,1000.082,1000.56,1000.187,1000.294,1000.774,1000.537,1000.334,1000.168,1000.16,1000.209,1000.304,1000.376,1000.565,1000.769,1000.937,1000.633,1000.846,1000.518,1000.129,2953.485,1000.114,1000.242,1000.166,1000.339,1000.065,1000.281,3401.27,1000.238,1000.827,1000.561,1000.155,1000.777,2335.948,1000.162,1000.314,1000.194,1001.271,1001.162,1000.972,1000.656,1000.127,1000.788,1000.58,1000.345,1002.089,1000.261,1000.683,1000.502,1000.495,1000.534,1000.508,1001.022,1000.717,1000.531,1000.52,1751.321,1000.764,1001.164,1000.413,1000.644,1000.297,1000.791,3556.405,1000.29,1000.186,1000.31,1002.445,1000.356,1965.386,1001.12,1000.917,1000.547,609958118.0,1.91,1.53,1.41,0.0,0.0,0.0,0.0,200118808.0,0.0,0.0,0.0,42,4,23040,1.7222222222222223,2.5138888888888893,3.944444444444444,404328329216,398736908288,1.4,2377015296,363215302656,9277898752,28208300032,831021056,37904990208,524173312,2508804096,2147479552,0,2147479552,0.0,0,0,61340,1375423,2163532288,52133323776,18708,3246762,13756,733045,2221348
