,0
vm_percent,23.333333333333332
swap_percent,0.5
cpuloadavg_1min,25.153605143229168
cpuloadavg_5min,18.555704752604168
cpu_0,2078.5139999999997
cpu_1,2838.338333333333
cpu_psi_total,667598141.0
mem_psi_total,106372648.0
io_psi_total,30489191306.333332
acc,19.600000977516174
prune_config,ln_structured
prune_ratio,0.7000000000000001
model_name,vgg16
batchsz_arg,16
num_workers_arg,1
chipset_name,AMD Ryzen 7 3700X 8-Core Processor
arch,x86_64
l1_size,256 KiB (8 instances)
l2_size,4 MiB (8 instances)
