,0
vm_percent,26.46666666666667
swap_percent,0.0
cpuloadavg_1min,20.237901475694443
cpuloadavg_5min,14.999728732638891
cpu_0,3897.4926666666665
cpu_1,2935.150333333333
cpu_psi_total,119936327.33333333
mem_psi_total,220651.0
io_psi_total,956040861.3333334
acc,8.400000631809235
prune_config,ln_structured
prune_ratio,0.7000000000000001
model_name,alexnet
batchsz_arg,128
num_workers_arg,2
chipset_name,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
arch,x86_64
l1_size,192 KiB (6 instances)
l2_size,1.5 MiB (6 instances)
