,time,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,cpu_8,cpu_9,cpu_10,cpu_11,cpu_12,cpu_13,cpu_14,cpu_15,cpu_psi_total,cpu_psi_avg10,cpu_psi_avg60,cpu_psi_avg300,mem_psi_total,mem_psi_avg10,mem_psi_avg60,mem_psi_avg300,io_psi_total,io_psi_avg10,io_psi_avg60,io_psi_avg300,gpu_GPU_Load_1,gpu_GPU_Memory_Used_1,gpu_GPU_Total_Memory_1,cpuloadavg_1min,cpuloadavg_5min,cpuloadavg_15min,vm_total,vm_available,vm_percent,vm_used,vm_free,vm_active,vm_inactive,vm_buffers,vm_cached,vm_shared,vm_slab,swap_total,swap_used,swap_free,swap_percent,swap_sin,swap_sout,diskio_read_count,diskio_write_count,diskio_read_bytes,diskio_write_bytes,diskio_read_time,diskio_write_time,diskio_read_merged_count,diskio_write_merged_count,diskio_busy_time
0,2024-04-18 17:40:31.459426,2124.993,2428.866,4249.72,3981.297,4230.077,4175.803,4249.323,2126.113,2124.974,2428.106,4250.056,4250.32,3428.652,2200.0,4238.478,2144.642,636872272.0,0.1,0.1,0.07,106372248.0,0.0,0.0,0.0,30302334923.0,2.88,2.59,2.41,4,1029,12288,17.333984375,11.7523193359375,11.9598388671875,50418458624,40139468800,20.4,9413611520,7953330176,13514821632,25868378112,1469321216,31582195712,256892928,2318577664,99998494720,455307264,99543187456,0.5,1125670912,4198232064,1806975,4378942,86443593728,356113826816,37368119,174730550,307730,4825330,50103056
1,2024-04-18 17:40:33.665637,2066.368,2103.956,2098.887,3600.0,2200.0,2112.519,2102.184,4207.971,2099.708,2200.0,2200.0,4199.61,2111.748,2200.0,2101.761,4142.42,636889021.0,0.08,0.1,0.06,106372248.0,0.0,0.0,0.0,30302376721.0,2.54,2.53,2.41,3,1332,12288,17.333984375,11.7523193359375,11.9598388671875,50418458624,39618740224,21.4,9920593920,7432368128,13934632960,25868611584,1469362176,31596134400,270639104,2320748544,99998494720,455307264,99543187456,0.5,1125670912,4198232064,1806975,4378989,86443593728,356114326528,37368119,174731145,307730,4825397,50103648
2,2024-04-18 17:40:35.882301,4199.713,2099.998,2112.588,4200.09,2199.908,2199.885,2200.02,2200.0,4199.836,2100.93,2099.976,4199.172,2199.959,2199.704,2200.0,2199.326,636891940.0,0.05,0.09,0.06,106372248.0,0.0,0.0,0.0,30302481494.0,2.58,2.53,2.41,4,6904,12288,16.9464111328125,11.767578125,11.962890625,50418458624,39204003840,22.2,10068103168,7017693184,14333235200,25868550144,1469448192,31863214080,537866240,2323259392,99998494720,455307264,99543187456,0.5,1125670912,4198232064,1806975,4379086,86443593728,356115837952,37368119,174732247,307730,4825513,50104376
