,0
vm_percent,21.933333333333334
swap_percent,0.5
cpuloadavg_1min,10.942586263020834
cpuloadavg_5min,17.280069986979168
cpu_0,3297.4756666666667
cpu_1,2359.467666666667
cpu_psi_total,647998523.3333334
mem_psi_total,106372248.0
io_psi_total,30359657673.333332
acc,54.60000038146973
prune_config,l1_unstructured
prune_ratio,0.7000000000000001
model_name,alexnet
batchsz_arg,8
num_workers_arg,1
chipset_name,AMD Ryzen 7 3700X 8-Core Processor
arch,x86_64
l1_size,256 KiB (8 instances)
l2_size,4 MiB (8 instances)
