,0
vm_percent,48.24444444444444
swap_percent,0.7
cpuloadavg_1min,70.36132812499999
cpuloadavg_5min,61.87608506944444
acc,56.00000023841858
prune_config,ln_structured
prune_ratio,0.0
model_name,alexnet
batchsz_arg,8
num_workers_arg,4
chipset_name,Cortex-A53
arch,aarch64
l1_size,
l2_size,
