,time,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,cpu_8,cpu_9,cpu_10,cpu_11,cpu_12,cpu_13,cpu_14,cpu_15,cpu_psi_total,cpu_psi_avg10,cpu_psi_avg60,cpu_psi_avg300,mem_psi_total,mem_psi_avg10,mem_psi_avg60,mem_psi_avg300,io_psi_total,io_psi_avg10,io_psi_avg60,io_psi_avg300,gpu_GPU_Load_1,gpu_GPU_Memory_Used_1,gpu_GPU_Total_Memory_1,cpuloadavg_1min,cpuloadavg_5min,cpuloadavg_15min,vm_total,vm_available,vm_percent,vm_used,vm_free,vm_active,vm_inactive,vm_buffers,vm_cached,vm_shared,vm_slab,swap_total,swap_used,swap_free,swap_percent,swap_sin,swap_sout,diskio_read_count,diskio_write_count,diskio_read_bytes,diskio_write_bytes,diskio_read_time,diskio_write_time,diskio_read_merged_count,diskio_write_merged_count,diskio_busy_time
0,2024-04-18 18:00:53.989398,3740.313,2200.0,2400.75,3508.506,2200.0,2200.0,2200.0,2146.585,3872.655,2157.071,2428.969,3133.613,4245.991,3657.949,2126.585,2137.403,641702462.0,0.08,0.06,0.07,106372248.0,0.0,0.0,0.0,30336619964.0,2.53,2.69,2.33,1,1046,12288,11.468505859375,15.5609130859375,16.36962890625,50418458624,40279322624,20.1,9276190720,8050769920,13392371712,25892720640,1479360512,31612137472,254459904,2327470080,99998494720,455307264,99543187456,0.5,1125670912,4198232064,1807087,4392895,86454038528,356378489856,37368360,175123484,307758,4848145,50232208
1,2024-04-18 18:00:56.213302,2200.0,2200.0,2082.337,3600.0,2200.0,2148.469,2147.264,4266.622,2200.0,2200.0,2200.0,2200.0,2200.0,2108.162,2145.764,2200.0,641706344.0,0.06,0.06,0.07,106372248.0,0.0,0.0,0.0,30336622221.0,2.07,2.6,2.31,12,2170,12288,11.468505859375,15.5609130859375,16.36962890625,50418458624,39797997568,21.1,9747173376,7569424384,13769809920,25892741120,1479372800,31622488064,264802304,2329329664,99998494720,455307264,99543187456,0.5,1125670912,4198232064,1807087,4392898,86454038528,356378571776,37368360,175123500,307758,4848162,50232220
2,2024-04-18 18:00:58.419386,2057.417,2125.503,2096.774,3592.311,2152.654,2147.709,2152.509,2200.0,2025.333,2147.406,2056.504,2200.0,2150.028,2148.503,2200.0,4298.045,641717288.0,0.04,0.05,0.06,106372248.0,0.0,0.0,0.0,30336786986.0,2.66,2.66,2.33,11,2600,12288,11.553955078125,15.509033203125,16.3482666015625,50418458624,39404519424,21.8,10005135360,7175819264,14145351680,25892765696,1479389184,31758114816,400318464,2330038272,99998494720,455307264,99543187456,0.5,1125670912,4198232064,1807087,4392918,86454038528,356378903552,37368360,175124274,307758,4848215,50232996
