,time,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,cpu_8,cpu_9,cpu_10,cpu_11,cpu_12,cpu_13,cpu_14,cpu_15,cpu_psi_total,cpu_psi_avg10,cpu_psi_avg60,cpu_psi_avg300,mem_psi_total,mem_psi_avg10,mem_psi_avg60,mem_psi_avg300,io_psi_total,io_psi_avg10,io_psi_avg60,io_psi_avg300,gpu_GPU_Load_1,gpu_GPU_Memory_Used_1,gpu_GPU_Total_Memory_1,cpuloadavg_1min,cpuloadavg_5min,cpuloadavg_15min,vm_total,vm_available,vm_percent,vm_used,vm_free,vm_active,vm_inactive,vm_buffers,vm_cached,vm_shared,vm_slab,swap_total,swap_used,swap_free,swap_percent,swap_sin,swap_sout,diskio_read_count,diskio_write_count,diskio_read_bytes,diskio_write_bytes,diskio_read_time,diskio_write_time,diskio_read_merged_count,diskio_write_merged_count,diskio_busy_time
0,2024-04-18 20:14:31.658148,3810.176,2128.833,2129.447,4251.764,4273.61,2138.966,2137.425,4248.799,3910.048,2137.528,2137.251,4253.141,4268.644,2126.356,2137.262,4250.149,680702698.0,0.07,0.06,0.08,106372711.0,0.0,0.0,0.0,30579319079.0,2.19,5.01,4.04,1,1031,12288,22.7935791015625,25.775146484375,20.5780029296875,50418458624,38226931712,24.2,11270320128,5670899712,15489486848,26108964864,1542971392,31934267392,312705024,2366742528,99998494720,455307264,99543187456,0.5,1125699584,4198232064,1811135,4507082,86604207104,358410073088,37375966,177972093,307926,4999781,51252420
1,2024-04-18 20:14:33.868972,2416.268,2414.285,2116.276,4221.433,3752.773,4221.832,2200.0,2200.0,2654.732,2200.0,2116.642,4236.887,3600.0,2236.584,2114.977,2112.128,680712407.0,0.06,0.06,0.08,106372711.0,0.0,0.0,0.0,30579324208.0,1.97,4.88,4.02,0,1546,12288,21.466064453125,25.4486083984375,20.4986572265625,50418458624,37533655040,25.6,11852963840,4977598464,16082763776,26108989440,1542979584,32044916736,423354368,2368737280,99998494720,455307264,99543187456,0.5,1125699584,4198232064,1811135,4507090,86604207104,358410146816,37375966,177972172,307926,4999794,51252500
2,2024-04-18 20:14:36.097841,2157.75,2093.379,2062.129,3669.6,2137.764,2137.165,2137.097,4275.228,2064.202,2200.0,2190.831,4002.381,2122.938,2137.228,2200.0,4269.07,680715798.0,0.05,0.06,0.08,106372711.0,0.0,0.0,0.0,30579422409.0,1.61,4.72,4.0,2,7361,12288,21.466064453125,25.4486083984375,20.4986572265625,50418458624,37340602368,25.9,12016164864,4784525312,16270569472,26109005824,1542995968,32074772480,453206016,2370203648,99998494720,455307264,99543187456,0.5,1125699584,4198232064,1811135,4507158,86604207104,358411211776,37375966,177972965,307926,4999826,51253144
