,0
vm_percent,25.183333333333334
swap_percent,1.3000000000000003
cpuloadavg_1min,76.93345811631946
cpuloadavg_5min,81.48328993055554
acc,68.00000071525574
prune_config,random_unstructured
prune_ratio,0.2
model_name,googlenet
batchsz_arg,4
num_workers_arg,4
chipset_name,Cortex-A53
arch,aarch64
l1_size,
l2_size,
