,time,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,cpu_8,cpu_9,cpu_10,cpu_11,cpu_12,cpu_13,cpu_14,cpu_15,cpu_psi_total,cpu_psi_avg10,cpu_psi_avg60,cpu_psi_avg300,mem_psi_total,mem_psi_avg10,mem_psi_avg60,mem_psi_avg300,io_psi_total,io_psi_avg10,io_psi_avg60,io_psi_avg300,gpu_GPU_Load_1,gpu_GPU_Memory_Used_1,gpu_GPU_Total_Memory_1,cpuloadavg_1min,cpuloadavg_5min,cpuloadavg_15min,vm_total,vm_available,vm_percent,vm_used,vm_free,vm_active,vm_inactive,vm_buffers,vm_cached,vm_shared,vm_slab,swap_total,swap_used,swap_free,swap_percent,swap_sin,swap_sout,diskio_read_count,diskio_write_count,diskio_read_bytes,diskio_write_bytes,diskio_read_time,diskio_write_time,diskio_read_merged_count,diskio_write_merged_count,diskio_busy_time
0,2024-04-18 18:23:30.421982,2112.652,4213.876,3947.629,2896.611,2122.378,2112.556,2110.906,4223.191,2110.605,4225.486,3462.733,4214.209,2113.554,2112.542,2121.97,3698.029,651385431.0,0.21,0.14,0.14,106372248.0,0.0,0.0,0.0,30386543001.0,5.31,2.61,3.31,28,899,12288,23.91357421875,18.2769775390625,17.2332763671875,50418458624,39517515776,21.6,9993887744,7249223680,14159032320,25926258688,1488027648,31687319552,298569728,2332229632,99998494720,455307264,99543187456,0.5,1125670912,4198232064,1807140,4415633,86456872960,356773491712,37369320,175714836,307758,4873030,50439212
1,2024-04-18 18:23:32.623615,2056.888,3600.0,3600.0,3600.0,2200.0,4235.809,2116.684,2200.0,3957.889,3590.1,2200.0,3600.045,3600.0,4222.013,2200.0,2110.269,651388569.0,0.17,0.14,0.14,106372248.0,0.0,0.0,0.0,30386635913.0,4.35,2.52,3.29,7,1759,12288,22.49755859375,18.0755615234375,17.1722412109375,50418458624,39059673088,22.5,10460327936,6791380992,14514151424,25926283264,1488039936,31678709760,289972224,2334076928,99998494720,455307264,99543187456,0.5,1125670912,4198232064,1807140,4415649,86456872960,356773991424,37369320,175715432,307758,4873072,50439540
2,2024-04-18 18:23:34.843033,2034.326,2114.895,2059.67,2814.249,2200.0,2200.0,2398.738,3782.785,1899.567,1867.925,2115.571,2800.0,2200.0,2200.0,2200.0,3600.0,651401886.0,0.14,0.13,0.14,106372248.0,0.0,0.0,0.0,30386637423.0,4.28,2.57,3.29,4,3122,12288,22.49755859375,18.0755615234375,17.1722412109375,50418458624,38520221696,23.6,10723614720,6251917312,15047290880,25926295552,1488052224,31954874368,566136832,2335502336,99998494720,455307264,99543187456,0.5,1125670912,4198232064,1807140,4415713,86456872960,356774343680,37369320,175715533,307758,4873092,50439568
