,0
vm_percent,27.366666666666664
swap_percent,0.0
cpuloadavg_1min,16.795518663194443
cpuloadavg_5min,16.952175564236114
cpu_0,3715.9875000000006
cpu_1,3700.014333333334
cpu_psi_total,143753023.33333334
mem_psi_total,220651.0
io_psi_total,995111887.5
acc,23.600001633167267
prune_config,ln_structured
prune_ratio,0.6000000000000001
model_name,vgg16
batchsz_arg,8
num_workers_arg,4
chipset_name,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
arch,x86_64
l1_size,192 KiB (6 instances)
l2_size,1.5 MiB (6 instances)
