,0
vm_percent,26.166666666666668
swap_percent,0.0
cpuloadavg_1min,19.002278645833332
cpuloadavg_5min,22.307671440972218
cpu_0,3784.9646666666667
cpu_1,3693.1316666666667
cpu_psi_total,160894374.66666666
mem_psi_total,223035.0
io_psi_total,1020694130.6666666
acc,70.40000557899475
prune_config,ln_structured
prune_ratio,0.0
model_name,googlenet
batchsz_arg,32
num_workers_arg,1
chipset_name,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
arch,x86_64
l1_size,192 KiB (6 instances)
l2_size,1.5 MiB (6 instances)
