,0
vm_percent,25.03333333333333
swap_percent,0.0
cpuloadavg_1min,10.168457031249998
cpuloadavg_5min,12.508138020833334
cpu_0,3988.8223333333335
cpu_1,3989.1690000000003
cpu_psi_total,134029155.66666667
mem_psi_total,220651.0
io_psi_total,979184796.6666666
acc,DNF
prune_config,l1_unstructured
prune_ratio,0.30000000000000004
model_name,vgg16
batchsz_arg,64
num_workers_arg,2
chipset_name,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
arch,x86_64
l1_size,192 KiB (6 instances)
l2_size,1.5 MiB (6 instances)
