,time,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,cpu_8,cpu_9,cpu_10,cpu_11,cpu_psi_total,cpu_psi_avg10,cpu_psi_avg60,cpu_psi_avg300,mem_psi_total,mem_psi_avg10,mem_psi_avg60,mem_psi_avg300,io_psi_total,io_psi_avg10,io_psi_avg60,io_psi_avg300,gpu_GPU_Load_1,gpu_GPU_Memory_Used_1,gpu_GPU_Total_Memory_1,cpuloadavg_1min,cpuloadavg_5min,cpuloadavg_15min,vm_total,vm_available,vm_percent,vm_used,vm_free,vm_active,vm_inactive,vm_buffers,vm_cached,vm_shared,vm_slab,swap_total,swap_used,swap_free,swap_percent,swap_sin,swap_sout,diskio_read_count,diskio_write_count,diskio_read_bytes,diskio_write_bytes,diskio_read_time,diskio_write_time,diskio_read_merged_count,diskio_write_merged_count,diskio_busy_time
0,2024-04-18 20:29:18.916687,4193.774,4067.992,4157.952,4142.931,4083.902,4196.75,3987.664,4034.911,4199.05,4219.669,4118.658,800.0,163279104.0,0.59,0.75,0.7,223035.0,0.0,0.0,0.0,1022394139.0,1.96,0.73,0.45,85,16,4096,13.521321614583334,17.142740885416664,17.49267578125,16591138816,12722872320,23.3,2934857728,1979617280,4485816320,8605454336,244633600,11432030208,583512064,830218240,32766947328,274432,32766672896,0.0,0,61440,114396,141342,4789235200,15926769664,1946830,5253282,25391,265785,2368928
1,2024-04-18 20:29:21.151149,3614.528,3705.389,3701.804,3705.667,3638.227,3644.638,3677.744,3676.214,3600.511,3677.635,3610.392,3665.685,163310347.0,0.66,0.76,0.71,223035.0,0.0,0.0,0.0,1022504826.0,2.33,0.84,0.48,1,133,4096,13.521321614583334,17.142740885416664,17.49267578125,16591138816,12154863616,26.7,3487891456,1411579904,4944625664,8605487104,244645888,11447021568,598503424,833490944,32766947328,274432,32766672896,0.0,0,61440,114396,141345,4789235200,15926884352,1946830,5253907,25391,265810,2369560
2,2024-04-18 20:29:23.385954,3598.862,3558.298,3592.714,800.0,3562.403,3574.109,3570.018,800.0,3571.936,3514.299,3535.848,3550.288,163311347.0,0.54,0.73,0.7,223035.0,0.0,0.0,0.0,1022506160.0,1.9,0.81,0.48,41,3437,4096,13.521321614583334,17.142740885416664,17.49267578125,16591138816,11829379072,28.7,3746426880,1086095360,5263302656,8605487104,244645888,11513970688,665452544,835121152,32766947328,274432,32766672896,0.0,0,61440,114396,141345,4789235200,15926884352,1946830,5253907,25391,265810,2369560
