,0
vm_percent,27.133333333333336
swap_percent,0.0
cpuloadavg_1min,17.020670572916668
cpuloadavg_5min,16.423882378472225
cpu_0,4054.2359999999994
cpu_1,2850.246333333333
cpu_psi_total,126780243.33333333
mem_psi_total,220651.0
io_psi_total,965365361.3333334
acc,35.80000102519989
prune_config,random_unstructured
prune_ratio,0.5
model_name,alexnet
batchsz_arg,128
num_workers_arg,8
chipset_name,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
arch,x86_64
l1_size,192 KiB (6 instances)
l2_size,1.5 MiB (6 instances)
