,time,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,cpu_8,cpu_9,cpu_10,cpu_11,cpu_12,cpu_13,cpu_14,cpu_15,cpu_16,cpu_17,cpu_18,cpu_19,cpu_20,cpu_21,cpu_22,cpu_23,cpu_24,cpu_25,cpu_26,cpu_27,cpu_28,cpu_29,cpu_30,cpu_31,cpu_32,cpu_33,cpu_34,cpu_35,cpu_36,cpu_37,cpu_38,cpu_39,cpu_40,cpu_41,cpu_42,cpu_43,cpu_44,cpu_45,cpu_46,cpu_47,cpu_48,cpu_49,cpu_50,cpu_51,cpu_52,cpu_53,cpu_54,cpu_55,cpu_56,cpu_57,cpu_58,cpu_59,cpu_60,cpu_61,cpu_62,cpu_63,cpu_64,cpu_65,cpu_66,cpu_67,cpu_68,cpu_69,cpu_70,cpu_71,cpu_psi_total,cpu_psi_avg10,cpu_psi_avg60,cpu_psi_avg300,mem_psi_total,mem_psi_avg10,mem_psi_avg60,mem_psi_avg300,io_psi_total,io_psi_avg10,io_psi_avg60,io_psi_avg300,gpu_GPU_Load_1,gpu_GPU_Memory_Used_1,gpu_GPU_Total_Memory_1,cpuloadavg_1min,cpuloadavg_5min,cpuloadavg_15min,vm_total,vm_available,vm_percent,vm_used,vm_free,vm_active,vm_inactive,vm_buffers,vm_cached,vm_shared,vm_slab,swap_total,swap_used,swap_free,swap_percent,swap_sin,swap_sout,diskio_read_count,diskio_write_count,diskio_read_bytes,diskio_write_bytes,diskio_read_time,diskio_write_time,diskio_read_merged_count,diskio_write_merged_count,diskio_busy_time
0,2024-04-18 18:27:18.549740,1000.071,1000.48,1000.046,1000.184,1000.664,1000.764,1000.259,1000.491,1000.682,1000.472,1000.281,1000.594,1000.499,1000.568,1000.423,1000.621,1000.308,1000.458,1167.647,1000.519,1000.564,1002.253,1830.994,1067.996,2139.247,1000.535,1000.659,1000.158,1000.294,1000.69,1000.311,1000.229,1000.494,1000.52,1000.451,1000.532,1000.184,1000.717,1000.951,1000.703,1000.877,1000.549,1000.977,1000.511,1000.773,1000.251,1000.504,1000.955,1000.558,1000.667,1000.797,1000.646,1000.088,1000.185,1220.754,1000.941,1000.193,1284.349,2092.682,1520.341,1300.277,1000.713,1000.796,1001.489,1000.813,1000.7,1000.773,1000.783,1000.592,1000.776,1000.712,1000.843,536570939.0,2.24,1.63,1.47,0.0,0.0,0.0,0.0,198827088.0,0.0,0.0,0.0,0,4,23040,8.416666666666666,9.680555555555555,7.194444444444444,404328329216,399389814784,1.2,2240020480,363885305856,8709349376,28259528704,826904576,37376098304,8273920,2486628352,2147479552,0,2147479552,0.0,0,0,61339,1359248,2163487232,51992622080,18703,3206757,13756,715608,2202924
1,2024-04-18 18:27:20.831508,3558.183,1000.43,1000.047,1000.731,1000.995,1000.501,1000.449,1000.706,1000.42,1000.802,1000.705,1000.861,1000.732,1000.651,1000.338,1000.525,1000.804,1000.763,2279.722,2052.144,1895.476,1327.168,2194.788,2301.237,1898.184,1728.642,1797.499,1668.298,1600.893,1840.516,2052.27,2265.301,2042.878,1750.147,2167.883,2763.099,1337.384,1001.0,1001.238,1000.349,1000.082,1000.406,1001.082,1000.803,1000.815,1000.153,1001.055,1000.377,1000.937,1000.177,1000.743,1001.39,1000.234,1000.104,1904.196,1572.952,1564.852,1861.593,1826.467,1948.17,1958.598,1498.485,1709.207,1473.377,1849.922,1832.983,2000.472,2025.207,1966.133,1584.559,1693.553,2624.069,536646722.0,2.37,1.68,1.48,0.0,0.0,0.0,0.0,198827298.0,0.0,0.0,0.0,0,14,23040,7.861111111111112,9.541666666666666,7.166666666666667,404328329216,399065563136,1.3,2564255744,363561054208,9010388992,28259528704,826904576,37376114688,8273920,2487488512,2147479552,0,2147479552,0.0,0,0,61339,1359250,2163487232,51992704000,18703,3206771,13756,715626,2202940
2,2024-04-18 18:27:23.130746,1000.055,1000.629,1380.325,1000.863,1000.735,1000.948,1000.569,1000.859,1000.655,1000.542,1000.349,1000.309,1000.337,1001.036,1000.481,1000.507,1000.642,1000.334,1000.217,1000.992,1000.691,3630.336,1000.718,1000.86,1000.956,1000.259,1210.927,1000.963,2105.213,1000.382,1000.534,1000.491,1000.749,1440.709,1285.794,1794.033,1000.91,1000.446,1309.371,1000.884,1000.725,1000.17,1000.676,1000.042,1000.369,1000.242,1000.174,1000.366,1000.63,1000.677,1000.838,1000.565,1000.545,1000.959,1000.312,1000.09,1000.925,3436.303,1000.831,1000.177,1000.86,1000.755,1269.579,1000.908,2090.483,1000.532,1000.555,1000.706,1000.554,1451.422,1308.37,2108.254,536711155.0,1.94,1.62,1.47,0.0,0.0,0.0,0.0,198827552.0,0.0,0.0,0.0,3,962,23040,7.861111111111112,9.541666666666666,7.166666666666667,404328329216,397511168000,1.7,4085059584,362006642688,10408820736,28293165056,826904576,37409722368,41881600,2494889984,2147479552,0,2147479552,0.0,0,0,61339,1359296,2163487232,51992900608,18703,3206819,13756,715627,2202948
3,2024-04-18 18:27:25.426832,1000.214,1000.316,1374.928,1000.503,1000.445,1000.608,1000.561,1000.557,1000.893,1000.489,1000.501,1000.783,1000.608,1000.611,1000.424,1000.615,1000.805,1000.591,1000.684,1001.143,1000.776,1342.543,1001.001,2299.999,1000.894,1000.396,1298.926,1000.746,2102.672,1000.949,1176.765,1000.603,1000.654,1253.101,1150.02,2039.501,1000.851,1000.785,1304.643,1000.407,1000.388,1000.504,1000.577,1000.713,1000.924,1000.591,1000.126,1000.408,1000.72,1000.867,1000.625,1000.53,1000.308,1000.609,1000.274,1000.125,1000.407,1153.414,1000.631,2300.045,1000.436,1000.647,1243.871,1000.572,2089.158,1000.863,1174.303,1000.386,1000.458,1262.648,1367.531,2064.238,536711237.0,2.13,1.67,1.48,0.0,0.0,0.0,0.0,198827580.0,0.0,0.0,0.0,0,1040,23040,7.333333333333333,9.402777777777777,7.124999999999999,404328329216,397378203648,1.7,4218109952,361873678336,10543325184,28293640192,826904576,37409636352,41795584,2494824448,2147479552,0,2147479552,0.0,0,0,61339,1359298,2163487232,51992953856,18703,3206829,13756,715638,2202960
