,0
vm_percent,25.733333333333334
swap_percent,0.0
cpuloadavg_1min,13.479275173611109
cpuloadavg_5min,13.309733072916666
cpu_0,3903.5903333333335
cpu_1,3988.890666666666
cpu_psi_total,149122691.33333334
mem_psi_total,220651.0
io_psi_total,1005009385.3333334
acc,NDF-OOM
prune_config,random_unstructured
prune_ratio,0.30000000000000004
model_name,vgg16
batchsz_arg,16
num_workers_arg,4
chipset_name,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
arch,x86_64
l1_size,192 KiB (6 instances)
l2_size,1.5 MiB (6 instances)
