,time,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,cpu_8,cpu_9,cpu_10,cpu_11,cpu_12,cpu_13,cpu_14,cpu_15,cpu_psi_total,cpu_psi_avg10,cpu_psi_avg60,cpu_psi_avg300,mem_psi_total,mem_psi_avg10,mem_psi_avg60,mem_psi_avg300,io_psi_total,io_psi_avg10,io_psi_avg60,io_psi_avg300,gpu_GPU_Load_1,gpu_GPU_Memory_Used_1,gpu_GPU_Total_Memory_1,cpuloadavg_1min,cpuloadavg_5min,cpuloadavg_15min,vm_total,vm_available,vm_percent,vm_used,vm_free,vm_active,vm_inactive,vm_buffers,vm_cached,vm_shared,vm_slab,swap_total,swap_used,swap_free,swap_percent,swap_sin,swap_sout,diskio_read_count,diskio_write_count,diskio_read_bytes,diskio_write_bytes,diskio_read_time,diskio_write_time,diskio_read_merged_count,diskio_write_merged_count,diskio_busy_time,nvme-Composite-current,nvme-Composite-high,nvme-Composite-critical,nvme-Sensor 1-current,nvme-Sensor 1-high,nvme-Sensor 1-critical,nvme-Sensor 2-current,nvme-Sensor 2-high,nvme-Sensor 2-critical,k10temp-Tctl-current,k10temp-Tctl-high,k10temp-Tctl-critical,k10temp-Tccd1-current,k10temp-Tccd1-high,k10temp-Tccd1-critical,kraken2-Coolant-current,kraken2-Coolant-high,kraken2-Coolant-critical
0,2024-04-11 14:19:42.861021,1077274.6079999993,1050417.273,1036529.1549999997,1231160.181000001,1089619.052,1059233.0629999998,1130423.3530000004,1486075.9670000002,1061555.6849999996,1062584.7229999998,1036713.4299999997,1099923.913,1071591.8010000002,1067225.4000000001,1158584.8890000002,1444861.3080000004,2092178269.0,0.0,0.0,0.0,946200.0,0.0,0.0,0.0,79809038831.0,57.45,44.359999999999985,15.110000000000005,0,163,11264,3195.7916259765625,3134.2376708984375,2998.05908203125,50418487296,47382437888,6.0,2403024896,43435192320,4117188608,1772138496,372879360,4207390720,24125440,589115392,99998494720,0,99998494720,0.0,0,0,87500,20186,3736911360,324338688,1346821,577144,39162,27911,313012,45.85,81.85,84.85,45.85,65261.85,65261.85,55.85,65261.85,65261.85,57.625,,,50.25,,,40.1,,
1,2024-04-11 14:19:45.090716,1077274.6079999993,1050417.273,1036529.1549999997,1231160.181000001,1089619.052,1059233.0629999998,1130423.3530000004,1486075.9670000002,1061555.6849999996,1062584.7229999998,1036713.4299999997,1099923.913,1071591.8010000002,1067225.4000000001,1158584.8890000002,1444861.3080000004,2092178269.0,0.0,0.0,0.0,946200.0,0.0,0.0,0.0,79809038831.0,57.45,44.359999999999985,15.110000000000005,0,163,11264,3195.7916259765625,3134.2376708984375,2998.05908203125,50418487296,46874198016,7.0,2901360640,42926092288,4507848704,1772969984,372887552,4218146816,34406400,594182144,99998494720,0,99998494720,0.0,0,0,87500,20188,3736911360,324391936,1346821,577152,39162,27922,313024,45.85,81.85,84.85,45.85,65261.85,65261.85,55.85,65261.85,65261.85,59.875,,,55.0,,,40.1,,
2,2024-04-11 14:19:47.292009,1077274.6079999993,1050417.273,1036529.1549999997,1231160.181000001,1089619.052,1059233.0629999998,1130423.3530000004,1486075.9670000002,1061555.6849999996,1062584.7229999998,1036713.4299999997,1099923.913,1071591.8010000002,1067225.4000000001,1158584.8890000002,1444861.3080000004,2092178269.0,0.0,0.0,0.0,946200.0,0.0,0.0,0.0,79809038831.0,57.45,44.359999999999985,15.110000000000005,0,163,11264,3195.7916259765625,3134.2376708984375,2998.05908203125,50418487296,46816735232,7.1,2958794752,42868498432,4565114880,1772969984,372887552,4218306560,34435072,594362368,99998494720,0,99998494720,0.0,0,0,87501,20188,3737042432,324391936,1346836,577152,39162,27922,313040,45.85,81.85,84.85,45.85,65261.85,65261.85,55.85,65261.85,65261.85,59.25,,,52.75,,,40.1,,
3,2024-04-11 14:19:49.490571,1077274.6079999993,1050417.273,1036529.1549999997,1231160.181000001,1089619.052,1059233.0629999998,1130423.3530000004,1486075.9670000002,1061555.6849999996,1062584.7229999998,1036713.4299999997,1099923.913,1071591.8010000002,1067225.4000000001,1158584.8890000002,1444861.3080000004,2092178269.0,0.0,0.0,0.0,946200.0,0.0,0.0,0.0,79809038831.0,57.45,44.359999999999985,15.110000000000005,0,163,11264,3195.7916259765625,3134.2376708984375,2998.05908203125,50418487296,46797942784,7.2,2977624064,42849660928,4583612416,1773015040,372903936,4218298368,34435072,594362368,99998494720,0,99998494720,0.0,0,0,87501,20197,3737042432,325719040,1346836,577379,39162,27940,313136,45.85,81.85,84.85,45.85,65261.85,65261.85,55.85,65261.85,65261.85,58.625,,,55.25,,,40.1,,
4,2024-04-11 14:19:51.720279,1077274.6079999993,1050417.273,1036529.1549999997,1231160.181000001,1089619.052,1059233.0629999998,1130423.3530000004,1486075.9670000002,1061555.6849999996,1062584.7229999998,1036713.4299999997,1099923.913,1071591.8010000002,1067225.4000000001,1158584.8890000002,1444861.3080000004,2092178269.0,0.0,0.0,0.0,946200.0,0.0,0.0,0.0,79809038831.0,57.45,44.359999999999985,15.110000000000005,0,163,11264,3195.7916259765625,3134.2376708984375,2998.05908203125,50418487296,46764511232,7.2,3011047424,42816229376,4617351168,1773015040,372903936,4218306560,34435072,594493440,99998494720,0,99998494720,0.0,0,0,87501,20197,3737042432,325719040,1346836,577379,39162,27940,313136,46.85,81.85,84.85,46.85,65261.85,65261.85,55.85,65261.85,65261.85,58.125,,,55.25,,,40.1,,
5,2024-04-11 14:19:53.924648,1077274.6079999993,1050417.273,1036529.1549999997,1231160.181000001,1089619.052,1059233.0629999998,1130423.3530000004,1486075.9670000002,1061555.6849999996,1062584.7229999998,1036713.4299999997,1099923.913,1071591.8010000002,1067225.4000000001,1158584.8890000002,1444861.3080000004,2092178269.0,0.0,0.0,0.0,946200.0,0.0,0.0,0.0,79809038831.0,57.45,44.359999999999985,15.110000000000005,0,163,11264,3195.7916259765625,3134.2376708984375,2998.05908203125,50418487296,46739058688,7.3,3036475392,42790764544,4640899072,1773027328,372912128,4218335232,34435072,594493440,99998494720,0,99998494720,0.0,0,0,87501,20203,3737042432,325772288,1346836,577430,39162,27947,313192,46.85,81.85,84.85,46.85,65261.85,65261.85,55.85,65261.85,65261.85,57.875,,,54.25,,,40.1,,
6,2024-04-11 14:19:56.123960,1077274.6079999993,1050417.273,1036529.1549999997,1231160.181000001,1089619.052,1059233.0629999998,1130423.3530000004,1486075.9670000002,1061555.6849999996,1062584.7229999998,1036713.4299999997,1099923.913,1071591.8010000002,1067225.4000000001,1158584.8890000002,1444861.3080000004,2092178269.0,0.0,0.0,0.0,946200.0,0.0,0.0,0.0,79809038831.0,57.45,44.359999999999985,15.110000000000005,0,163,11264,3195.7916259765625,3134.2376708984375,2998.05908203125,50418487296,46663426048,7.4,3107893248,42715131904,4718403584,1773027328,372920320,4222541824,38633472,594657280,99998494720,0,99998494720,0.0,0,0,87501,20205,3737042432,325788672,1346836,577438,39162,27949,313208,46.85,81.85,84.85,46.85,65261.85,65261.85,55.85,65261.85,65261.85,57.75,,,55.75,,,40.1,,
7,2024-04-11 14:19:58.337135,1077274.6079999993,1050417.273,1036529.1549999997,1231160.181000001,1089619.052,1059233.0629999998,1130423.3530000004,1486075.9670000002,1061555.6849999996,1062584.7229999998,1036713.4299999997,1099923.913,1071591.8010000002,1067225.4000000001,1158584.8890000002,1444861.3080000004,2092178269.0,0.0,0.0,0.0,946200.0,0.0,0.0,0.0,79809038831.0,57.45,44.359999999999985,15.110000000000005,0,163,11264,3195.7916259765625,3134.2376708984375,2998.05908203125,50418487296,46641516544,7.5,3129827328,42693197824,4739788800,1773051904,372920320,4222541824,38633472,594657280,99998494720,0,99998494720,0.0,0,0,87501,20210,3737042432,325813248,1346836,577443,39162,27950,313212,46.85,81.85,84.85,46.85,65261.85,65261.85,55.85,65261.85,65261.85,57.875,,,57.0,,,40.1,,
8,2024-04-11 14:20:00.558948,1077274.6079999993,1050417.273,1036529.1549999997,1231160.181000001,1089619.052,1059233.0629999998,1130423.3530000004,1486075.9670000002,1061555.6849999996,1062584.7229999998,1036713.4299999997,1099923.913,1071591.8010000002,1067225.4000000001,1158584.8890000002,1444861.3080000004,2092178269.0,0.0,0.0,0.0,946200.0,0.0,0.0,0.0,79809038831.0,57.45,44.359999999999985,15.110000000000005,0,163,11264,3195.7916259765625,3134.2376708984375,2998.05908203125,50418487296,46638485504,7.5,3132833792,42690142208,4739817472,1773076480,372928512,4222582784,38633472,594657280,99998494720,0,99998494720,0.0,0,0,87501,20212,3737042432,325829632,1346836,577452,39162,27952,313228,46.85,81.85,84.85,46.85,65261.85,65261.85,55.85,65261.85,65261.85,58.0,,,55.25,,,40.1,,
9,2024-04-11 14:20:02.784361,1077274.6079999993,1050417.273,1036529.1549999997,1231160.181000001,1089619.052,1059233.0629999998,1130423.3530000004,1486075.9670000002,1061555.6849999996,1062584.7229999998,1036713.4299999997,1099923.913,1071591.8010000002,1067225.4000000001,1158584.8890000002,1444861.3080000004,2092178269.0,0.0,0.0,0.0,946200.0,0.0,0.0,0.0,79809038831.0,57.45,44.359999999999985,15.110000000000005,0,163,11264,3195.7916259765625,3134.2376708984375,2998.05908203125,50418487296,46631518208,7.5,3139792896,42683174912,4746248192,1773076480,372936704,4222582784,38633472,594657280,99998494720,0,99998494720,0.0,0,0,87501,20216,3737042432,325850112,1346836,577461,39162,27954,313240,45.85,81.85,84.85,45.85,65261.85,65261.85,55.85,65261.85,65261.85,57.75,,,53.75,,,40.1,,
10,2024-04-11 14:20:04.986235,1077274.6079999993,1050417.273,1036529.1549999997,1231160.181000001,1089619.052,1059233.0629999998,1130423.3530000004,1486075.9670000002,1061555.6849999996,1062584.7229999998,1036713.4299999997,1099923.913,1071591.8010000002,1067225.4000000001,1158584.8890000002,1444861.3080000004,2092178269.0,0.0,0.0,0.0,946200.0,0.0,0.0,0.0,79809038831.0,57.45,44.359999999999985,15.110000000000005,0,163,11264,3195.7916259765625,3134.2376708984375,2998.05908203125,50418487296,46608605184,7.6,3162746880,42660220928,4769509376,1773117440,372936704,4222582784,38633472,594657280,99998494720,0,99998494720,0.0,0,0,87501,20216,3737042432,325850112,1346836,577461,39162,27954,313240,45.85,81.85,84.85,45.85,65261.85,65261.85,55.85,65261.85,65261.85,57.625,,,55.25,,,40.1,,
11,2024-04-11 14:20:07.200776,1077274.6079999993,1050417.273,1036529.1549999997,1231160.181000001,1089619.052,1059233.0629999998,1130423.3530000004,1486075.9670000002,1061555.6849999996,1062584.7229999998,1036713.4299999997,1099923.913,1071591.8010000002,1067225.4000000001,1158584.8890000002,1444861.3080000004,2092178269.0,0.0,0.0,0.0,946200.0,0.0,0.0,0.0,79809038831.0,57.45,44.359999999999985,15.110000000000005,0,163,11264,3195.7916259765625,3134.2376708984375,2998.05908203125,50418487296,46608605184,7.6,3162746880,42660220928,4769509376,1773117440,372944896,4222574592,38633472,594657280,99998494720,0,99998494720,0.0,0,0,87501,20218,3737042432,325862400,1346836,577470,39162,27955,313252,45.85,81.85,84.85,45.85,65261.85,65261.85,55.85,65261.85,65261.85,57.875,,,54.5,,,40.1,,
12,2024-04-11 14:20:09.405643,1077274.6079999993,1050417.273,1036529.1549999997,1231160.181000001,1089619.052,1059233.0629999998,1130423.3530000004,1486075.9670000002,1061555.6849999996,1062584.7229999998,1036713.4299999997,1099923.913,1071591.8010000002,1067225.4000000001,1158584.8890000002,1444861.3080000004,2092178269.0,0.0,0.0,0.0,946200.0,0.0,0.0,0.0,79809038831.0,57.45,44.359999999999985,15.110000000000005,0,163,11264,3195.7916259765625,3134.2376708984375,2998.05908203125,50418487296,46608678912,7.6,3162689536,42660220928,4769599488,1773191168,372944896,4222631936,38633472,594657280,99998494720,0,99998494720,0.0,0,0,87501,20228,3737042432,325903360,1346836,577546,39162,27955,313264,46.85,81.85,84.85,46.85,65261.85,65261.85,55.85,65261.85,65261.85,58.25,,,54.75,,,40.1,,
13,2024-04-11 14:20:11.609406,1077274.6079999993,1050417.273,1036529.1549999997,1231160.181000001,1089619.052,1059233.0629999998,1130423.3530000004,1486075.9670000002,1061555.6849999996,1062584.7229999998,1036713.4299999997,1099923.913,1071591.8010000002,1067225.4000000001,1158584.8890000002,1444861.3080000004,2092178269.0,0.0,0.0,0.0,946200.0,0.0,0.0,0.0,79809038831.0,57.45,44.359999999999985,15.110000000000005,0,163,11264,3195.7916259765625,3134.2376708984375,2998.05908203125,50418487296,46606872576,7.6,3164495872,42658414592,4770148352,1773191168,372944896,4222631936,38633472,594673664,99998494720,0,99998494720,0.0,0,0,87501,20228,3737042432,325903360,1346836,577546,39162,27955,313264,46.85,81.85,84.85,46.85,65261.85,65261.85,55.85,65261.85,65261.85,57.625,,,51.75,,,40.1,,
14,2024-04-11 14:20:13.837731,1077274.6079999993,1050417.273,1036529.1549999997,1231160.181000001,1089619.052,1059233.0629999998,1130423.3530000004,1486075.9670000002,1061555.6849999996,1062584.7229999998,1036713.4299999997,1099923.913,1071591.8010000002,1067225.4000000001,1158584.8890000002,1444861.3080000004,2092178269.0,0.0,0.0,0.0,946200.0,0.0,0.0,0.0,79809038831.0,57.45,44.359999999999985,15.110000000000005,0,163,11264,3195.7916259765625,3134.2376708984375,2998.05908203125,50418487296,46607708160,7.6,3163652096,42659250176,4772249600,1773191168,372969472,4222615552,38633472,594915328,99998494720,0,99998494720,0.0,0,0,87501,20247,3737042432,326042624,1346836,577747,39162,27966,313420,46.85,81.85,84.85,46.85,65261.85,65261.85,55.85,65261.85,65261.85,57.25,,,53.75,,,40.1,,
15,2024-04-11 14:20:16.043720,1077274.6079999993,1050417.273,1036529.1549999997,1231160.181000001,1089619.052,1059233.0629999998,1130423.3530000004,1486075.9670000002,1061555.6849999996,1062584.7229999998,1036713.4299999997,1099923.913,1071591.8010000002,1067225.4000000001,1158584.8890000002,1444861.3080000004,2092178269.0,0.0,0.0,0.0,946200.0,0.0,0.0,0.0,79809038831.0,57.45,44.359999999999985,15.110000000000005,0,163,11264,3195.7916259765625,3134.2376708984375,2998.05908203125,50418487296,46607761408,7.6,3163566080,42659266560,4772593664,1773228032,372985856,4222668800,38633472,595111936,99998494720,0,99998494720,0.0,0,0,87501,20256,3737042432,326132736,1346836,577855,39162,27973,313532,46.85,81.85,84.85,46.85,65261.85,65261.85,55.85,65261.85,65261.85,57.375,,,54.0,,,40.1,,
16,2024-04-11 14:20:18.249861,1077274.6079999993,1050417.273,1036529.1549999997,1231160.181000001,1089619.052,1059233.0629999998,1130423.3530000004,1486075.9670000002,1061555.6849999996,1062584.7229999998,1036713.4299999997,1099923.913,1071591.8010000002,1067225.4000000001,1158584.8890000002,1444861.3080000004,2092178269.0,0.0,0.0,0.0,946200.0,0.0,0.0,0.0,79809038831.0,57.45,44.359999999999985,15.110000000000005,0,163,11264,3195.7916259765625,3134.2376708984375,2998.05908203125,50418487296,46605103104,7.6,3166208000,42656600064,4773883904,1773236224,373002240,4222676992,38633472,595111936,99998494720,0,99998494720,0.0,0,0,87501,20261,3737042432,326190080,1346836,577924,39162,27982,313608,46.85,81.85,84.85,46.85,65261.85,65261.85,55.85,65261.85,65261.85,57.625,,,58.5,,,40.1,,
17,2024-04-11 14:20:20.469925,1077274.6079999993,1050417.273,1036529.1549999997,1231160.181000001,1089619.052,1059233.0629999998,1130423.3530000004,1486075.9670000002,1061555.6849999996,1062584.7229999998,1036713.4299999997,1099923.913,1071591.8010000002,1067225.4000000001,1158584.8890000002,1444861.3080000004,2092178269.0,0.0,0.0,0.0,946200.0,0.0,0.0,0.0,79809038831.0,57.45,44.359999999999985,15.110000000000005,0,163,11264,3195.7916259765625,3134.2376708984375,2998.05908203125,50418487296,46605492224,7.6,3165859840,42656931840,4774297600,1773293568,373018624,4222676992,38633472,595079168,99998494720,0,99998494720,0.0,0,0,87501,20278,3737042432,326865920,1346836,578245,39162,27989,313904,46.85,81.85,84.85,46.85,65261.85,65261.85,55.85,65261.85,65261.85,58.0,,,53.5,,,40.1,,
18,2024-04-11 14:20:22.695947,1077274.6079999993,1050417.273,1036529.1549999997,1231160.181000001,1089619.052,1059233.0629999998,1130423.3530000004,1486075.9670000002,1061555.6849999996,1062584.7229999998,1036713.4299999997,1099923.913,1071591.8010000002,1067225.4000000001,1158584.8890000002,1444861.3080000004,2092178269.0,0.0,0.0,0.0,946200.0,0.0,0.0,0.0,79809038831.0,57.45,44.359999999999985,15.110000000000005,0,163,11264,3195.7916259765625,3134.2376708984375,2998.05908203125,50418487296,46603685888,7.6,3167666176,42655125504,4776054784,1773293568,373026816,4222668800,38633472,595079168,99998494720,0,99998494720,0.0,0,0,87501,20280,3737042432,326890496,1346836,578254,39162,27993,313916,46.85,81.85,84.85,46.85,65261.85,65261.85,55.85,65261.85,65261.85,57.5,,,51.0,,,40.1,,
19,2024-04-11 14:20:24.902002,1077274.6079999993,1050417.273,1036529.1549999997,1231160.181000001,1089619.052,1059233.0629999998,1130423.3530000004,1486075.9670000002,1061555.6849999996,1062584.7229999998,1036713.4299999997,1099923.913,1071591.8010000002,1067225.4000000001,1158584.8890000002,1444861.3080000004,2092178269.0,0.0,0.0,0.0,946200.0,0.0,0.0,0.0,79809038831.0,57.45,44.359999999999985,15.110000000000005,0,163,11264,3195.7916259765625,3134.2376708984375,2998.05908203125,50418487296,46603427840,7.6,3167920128,42654867456,4776038400,1773293568,373035008,4222664704,38604800,595079168,99998494720,0,99998494720,0.0,0,0,87501,20283,3737042432,326919168,1346836,578291,39162,27997,313960,46.85,81.85,84.85,46.85,65261.85,65261.85,55.85,65261.85,65261.85,57.75,,,55.25,,,40.1,,
20,2024-04-11 14:20:27.128027,1077274.6079999993,1050417.273,1036529.1549999997,1231160.181000001,1089619.052,1059233.0629999998,1130423.3530000004,1486075.9670000002,1061555.6849999996,1062584.7229999998,1036713.4299999997,1099923.913,1071591.8010000002,1067225.4000000001,1158584.8890000002,1444861.3080000004,2092178269.0,0.0,0.0,0.0,946200.0,0.0,0.0,0.0,79809038831.0,57.45,44.359999999999985,15.110000000000005,0,163,11264,3195.7916259765625,3134.2376708984375,2998.05908203125,50418487296,46604255232,7.6,3167064064,42655694848,4776058880,1773293568,373043200,4222685184,38633472,595079168,99998494720,0,99998494720,0.0,0,0,87501,20285,3737042432,326935552,1346836,578299,39162,27999,313976,46.85,81.85,84.85,46.85,65261.85,65261.85,55.85,65261.85,65261.85,58.0,,,55.0,,,40.1,,
21,2024-04-11 14:20:29.338449,1077274.6079999993,1050417.273,1036529.1549999997,1231160.181000001,1089619.052,1059233.0629999998,1130423.3530000004,1486075.9670000002,1061555.6849999996,1062584.7229999998,1036713.4299999997,1099923.913,1071591.8010000002,1067225.4000000001,1158584.8890000002,1444861.3080000004,2092178269.0,0.0,0.0,0.0,946200.0,0.0,0.0,0.0,79809038831.0,57.45,44.359999999999985,15.110000000000005,0,163,11264,3195.7916259765625,3134.2376708984375,2998.05908203125,50418487296,46588784640,7.6,3182583808,42640158720,4790448128,1773359104,373043200,4222701568,38633472,595079168,99998494720,0,99998494720,0.0,0,0,87501,20289,3737042432,326951936,1346836,578302,39162,27999,313980,46.85,81.85,84.85,46.85,65261.85,65261.85,55.85,65261.85,65261.85,58.25,,,54.25,,,40.1,,
22,2024-04-11 14:20:31.550150,1077274.6079999993,1050417.273,1036529.1549999997,1231160.181000001,1089619.052,1059233.0629999998,1130423.3530000004,1486075.9670000002,1061555.6849999996,1062584.7229999998,1036713.4299999997,1099923.913,1071591.8010000002,1067225.4000000001,1158584.8890000002,1444861.3080000004,2092178269.0,0.0,0.0,0.0,946200.0,0.0,0.0,0.0,79809038831.0,57.45,44.359999999999985,15.110000000000005,0,163,11264,3195.7916259765625,3134.2376708984375,2998.05908203125,50418487296,46588526592,7.6,3182841856,42639900672,4790448128,1773359104,373043200,4222701568,38633472,595079168,99998494720,0,99998494720,0.0,0,0,87501,20289,3737042432,326951936,1346836,578302,39162,27999,313980,46.85,81.85,84.85,46.85,65261.85,65261.85,55.85,65261.85,65261.85,57.875,,,54.75,,,40.1,,
23,2024-04-11 14:20:33.753724,1077274.6079999993,1050417.273,1036529.1549999997,1231160.181000001,1089619.052,1059233.0629999998,1130423.3530000004,1486075.9670000002,1061555.6849999996,1062584.7229999998,1036713.4299999997,1099923.913,1071591.8010000002,1067225.4000000001,1158584.8890000002,1444861.3080000004,2092178269.0,0.0,0.0,0.0,946200.0,0.0,0.0,0.0,79809038831.0,57.45,44.359999999999985,15.110000000000005,0,163,11264,3195.7916259765625,3134.2376708984375,2998.05908203125,50418487296,46588174336,7.6,3183194112,42639548416,4790448128,1773359104,373051392,4222693376,38633472,595079168,99998494720,0,99998494720,0.0,0,0,87501,20291,3737042432,326964224,1346836,578311,39162,28000,313992,46.85,81.85,84.85,46.85,65261.85,65261.85,55.85,65261.85,65261.85,57.875,,,60.75,,,40.1,,
24,2024-04-11 14:20:35.952010,1077274.6079999993,1050417.273,1036529.1549999997,1231160.181000001,1089619.052,1059233.0629999998,1130423.3530000004,1486075.9670000002,1061555.6849999996,1062584.7229999998,1036713.4299999997,1099923.913,1071591.8010000002,1067225.4000000001,1158584.8890000002,1444861.3080000004,2092178269.0,0.0,0.0,0.0,946200.0,0.0,0.0,0.0,79809038831.0,57.45,44.359999999999985,15.110000000000005,0,163,11264,3195.7916259765625,3134.2376708984375,2998.05908203125,50418487296,46588645376,7.6,3182723072,42640019456,4790448128,1773359104,373051392,4222693376,38633472,595079168,99998494720,0,99998494720,0.0,0,0,87501,20291,3737042432,326964224,1346836,578311,39162,28000,313992,46.85,81.85,84.85,46.85,65261.85,65261.85,55.85,65261.85,65261.85,58.0,,,56.0,,,40.1,,
25,2024-04-11 14:20:38.184066,1077274.6079999993,1050417.273,1036529.1549999997,1231160.181000001,1089619.052,1059233.0629999998,1130423.3530000004,1486075.9670000002,1061555.6849999996,1062584.7229999998,1036713.4299999997,1099923.913,1071591.8010000002,1067225.4000000001,1158584.8890000002,1444861.3080000004,2092178269.0,0.0,0.0,0.0,946200.0,0.0,0.0,0.0,79809038831.0,57.45,44.359999999999985,15.110000000000005,0,163,11264,3195.7916259765625,3134.2376708984375,2998.05908203125,50418487296,46588833792,7.6,3182526464,42640158720,4790865920,1773408256,373059584,4222742528,38633472,595079168,99998494720,0,99998494720,0.0,0,0,87501,20293,3737042432,326980608,1346836,578320,39162,28002,314004,45.85,81.85,84.85,45.85,65261.85,65261.85,55.85,65261.85,65261.85,58.25,,,56.75,,,40.1,,
26,2024-04-11 14:20:40.387982,1077274.6079999993,1050417.273,1036529.1549999997,1231160.181000001,1089619.052,1059233.0629999998,1130423.3530000004,1486075.9670000002,1061555.6849999996,1062584.7229999998,1036713.4299999997,1099923.913,1071591.8010000002,1067225.4000000001,1158584.8890000002,1444861.3080000004,2092178269.0,0.0,0.0,0.0,946200.0,0.0,0.0,0.0,79809038831.0,57.45,44.359999999999985,15.110000000000005,0,163,11264,3195.7916259765625,3134.2376708984375,2998.05908203125,50418487296,46590390272,7.6,3180978176,42641707008,4790497280,1773416448,373059584,4222742528,38633472,595079168,99998494720,0,99998494720,0.0,0,0,87501,20293,3737042432,326980608,1346836,578320,39162,28002,314004,45.85,81.85,84.85,45.85,65261.85,65261.85,55.85,65261.85,65261.85,57.75,,,55.25,,,40.1,,
