,0
vm_percent,25.433333333333334
swap_percent,0.5
cpuloadavg_1min,22.057088216145832
cpuloadavg_5min,19.0093994140625
cpu_0,2771.6349999999998
cpu_1,3342.868
cpu_psi_total,685559397.6666666
mem_psi_total,106372711.0
io_psi_total,30604464119.666668
acc,64.000004529953
prune_config,random_unstructured
prune_ratio,0.30000000000000004
model_name,googlenet
batchsz_arg,8
num_workers_arg,1
chipset_name,AMD Ryzen 7 3700X 8-Core Processor
arch,x86_64
l1_size,256 KiB (8 instances)
l2_size,4 MiB (8 instances)
