,time,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,cpu_8,cpu_9,cpu_10,cpu_11,cpu_12,cpu_13,cpu_14,cpu_15,cpu_16,cpu_17,cpu_18,cpu_19,cpu_20,cpu_21,cpu_22,cpu_23,cpu_24,cpu_25,cpu_26,cpu_27,cpu_28,cpu_29,cpu_30,cpu_31,cpu_32,cpu_33,cpu_34,cpu_35,cpu_36,cpu_37,cpu_38,cpu_39,cpu_40,cpu_41,cpu_42,cpu_43,cpu_44,cpu_45,cpu_46,cpu_47,cpu_48,cpu_49,cpu_50,cpu_51,cpu_52,cpu_53,cpu_54,cpu_55,cpu_56,cpu_57,cpu_58,cpu_59,cpu_60,cpu_61,cpu_62,cpu_63,cpu_64,cpu_65,cpu_66,cpu_67,cpu_68,cpu_69,cpu_70,cpu_71,cpu_psi_total,cpu_psi_avg10,cpu_psi_avg60,cpu_psi_avg300,mem_psi_total,mem_psi_avg10,mem_psi_avg60,mem_psi_avg300,io_psi_total,io_psi_avg10,io_psi_avg60,io_psi_avg300,gpu_GPU_Load_1,gpu_GPU_Memory_Used_1,gpu_GPU_Total_Memory_1,cpuloadavg_1min,cpuloadavg_5min,cpuloadavg_15min,vm_total,vm_available,vm_percent,vm_used,vm_free,vm_active,vm_inactive,vm_buffers,vm_cached,vm_shared,vm_slab,swap_total,swap_used,swap_free,swap_percent,swap_sin,swap_sout,diskio_read_count,diskio_write_count,diskio_read_bytes,diskio_write_bytes,diskio_read_time,diskio_write_time,diskio_read_merged_count,diskio_write_merged_count,diskio_busy_time
0,2024-04-18 21:53:51.922006,1000.052,1000.67,1000.393,1000.517,1000.676,1000.422,1000.442,1000.536,1000.389,1000.757,1000.491,1000.726,1000.306,1000.601,1000.414,1000.578,1000.44,1000.298,1783.771,1000.395,1000.531,1000.455,1000.463,1000.662,1000.352,1504.283,1000.372,1000.308,1008.4,1000.213,1110.796,1984.278,1126.863,1142.749,1001.272,1000.389,1001.285,1000.568,1000.584,1000.504,1000.812,1000.934,1000.387,1000.593,1000.742,1000.055,1000.938,1000.293,1000.569,1001.061,1000.625,1000.687,1000.519,1000.77,2172.799,1000.907,1000.553,1000.739,1000.569,1001.001,1000.772,1257.111,1000.88,1000.694,1219.62,1000.721,1345.184,1820.376,1478.996,1493.237,1000.114,1000.746,714940641.0,1.22,1.35,1.38,0.0,0.0,0.0,0.0,202072381.0,0.0,0.0,0.0,0,4,23040,3.1388888888888884,5.263888888888888,5.083333333333333,404328329216,399390314496,1.2,2239524864,363842973696,8779431936,28215496704,836890624,37408940032,8269824,2505084928,2147479552,0,2147479552,0.0,0,0,61395,1400467,2163880448,52354823168,18738,3311270,13756,759658,2251436
1,2024-04-18 21:53:54.190554,1000.08,1000.235,1000.262,1000.151,1000.152,1000.19,1000.258,1000.303,1000.145,1000.477,1000.19,1000.267,1000.194,1000.198,1000.333,1000.221,1000.25,1000.255,1908.119,2060.98,2263.8,2048.108,2263.818,2263.759,2264.042,2315.149,2090.227,2157.379,2063.973,2112.243,2121.807,2086.171,2086.307,2279.491,2120.812,3000.747,1000.32,1000.218,1000.289,1000.233,1000.222,1000.272,1000.346,1000.251,1000.198,1000.012,1000.293,1000.287,1000.374,1000.171,1000.241,1000.317,1000.233,1000.23,1919.474,2061.769,2238.01,2061.786,2237.634,2237.26,2301.059,2261.684,2050.46,2153.637,2060.149,2117.815,2119.202,2088.026,2042.766,2276.575,2121.245,3560.359,715003686.0,1.55,1.4,1.39,0.0,0.0,0.0,0.0,202072386.0,0.0,0.0,0.0,3,198,23040,3.1388888888888884,5.263888888888888,5.083333333333333,404328329216,398924623872,1.3,2694873088,363377283072,9100599296,28225818624,836894720,37419278336,18591744,2511306752,2147479552,0,2147479552,0.0,0,0,61395,1400469,2163880448,52354884608,18738,3311277,13756,759671,2251444
2,2024-04-18 21:53:56.486588,1000.668,1000.342,1000.939,1000.401,2037.989,1000.464,1000.752,1000.503,1000.421,1000.635,1000.741,1000.556,1000.465,1000.776,1000.833,1000.755,1000.447,1000.62,3699.662,1000.23,1000.669,1000.409,1488.99,1000.803,1000.824,1000.468,1000.579,1000.638,1000.833,1000.444,1000.887,1000.489,1000.763,1000.41,1088.599,1000.408,1000.773,1000.606,1000.777,1000.683,1265.341,1000.882,1000.87,1000.65,1000.36,1000.628,1000.748,1000.638,1000.635,1000.838,1000.481,1000.606,1000.599,1000.396,3638.676,1000.372,1000.598,1000.825,1486.872,1000.595,1000.494,1000.782,1000.341,1000.998,1000.48,1000.664,1000.613,1000.593,1000.74,1000.762,1057.664,1000.643,715049154.0,1.26,1.35,1.38,0.0,0.0,0.0,0.0,202072460.0,0.0,0.0,0.0,3,834,23040,3.0000000000000004,5.194444444444445,5.069444444444445,404328329216,397450510336,1.7,4116365312,361903149056,10514440192,28278468608,836894720,37471920128,71233536,2514382848,2147479552,0,2147479552,0.0,0,0,61395,1400469,2163880448,52354884608,18738,3311277,13756,759671,2251444
3,2024-04-18 21:53:58.784183,1000.062,1000.844,1000.844,1000.663,2039.855,1000.613,1000.615,1000.577,1000.531,1000.891,1000.533,1000.475,1000.407,1000.789,1000.048,1000.674,1000.676,1000.75,1883.062,1000.989,1000.039,1000.511,3481.118,1000.01,999.998,1000.246,1000.418,1000.671,1000.641,1000.697,1000.498,1000.879,1000.496,1000.456,1534.387,1000.378,1001.443,1000.771,1000.722,1000.753,1390.276,1000.839,1000.677,1000.926,1000.494,1001.065,1000.516,1000.527,1000.439,1000.608,1000.623,1000.717,1000.217,1000.892,1869.216,1000.426,1000.811,1000.474,3349.754,1001.081,1000.725,1000.842,1000.366,1000.75,1000.507,1000.634,1000.781,1000.784,1000.864,1000.281,2075.879,1000.875,715049188.0,1.14,1.33,1.37,0.0,0.0,0.0,0.0,202072492.0,0.0,0.0,0.0,20,2412,23040,3.0000000000000004,5.194444444444445,5.069444444444445,404328329216,397296709632,1.7,4270358528,361749348352,10667581440,28278489088,836894720,37471727616,71041024,2515484672,2147479552,0,2147479552,0.0,0,0,61395,1400471,2163880448,52354937856,18738,3311287,13756,759682,2251456
