,0
vm_percent,26.333333333333332
swap_percent,0.0
cpuloadavg_1min,18.14914279513889
cpuloadavg_5min,18.367513020833332
cpu_0,3832.9919999999997
cpu_1,3866.0003333333334
cpu_psi_total,168146984.66666666
mem_psi_total,223035.0
io_psi_total,1027641674.0
acc,28.600001335144043
prune_config,ln_structured
prune_ratio,0.6000000000000001
model_name,googlenet
batchsz_arg,32
num_workers_arg,1
chipset_name,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
arch,x86_64
l1_size,192 KiB (6 instances)
l2_size,1.5 MiB (6 instances)
