,vm_percent,swap_percent,cpuloadavg_1min,cpuloadavg_5min,cpu_0,cpu_1,cpu_psi_total,mem_psi_total,io_psi_total
0,6.1,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
1,7.1,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
2,7.2,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
3,7.3,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
4,7.3,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
5,7.4,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
6,7.4,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
7,7.5,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
8,7.6,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
9,7.6,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
10,7.6,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
11,7.6,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
12,7.6,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
13,7.6,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
14,7.6,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
15,7.6,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
16,7.6,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
17,7.6,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
18,7.6,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
19,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
20,7.6,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
21,7.6,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
22,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
23,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
24,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
25,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
26,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
27,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
28,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
29,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
30,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
31,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
32,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
33,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
34,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
35,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
36,7.7,0.0,3134.5245361328125,3122.91259765625,1057236.95,1056840.9670000002,2474897837.0,958152.0,85643332216.0
