,0
vm_percent,26.266666666666666
swap_percent,0.0
cpuloadavg_1min,46.74072265625
cpuloadavg_5min,28.763834635416668
cpu_0,3766.328666666667
cpu_1,3732.5346666666665
cpu_psi_total,158689525.66666666
mem_psi_total,223035.0
io_psi_total,1018567049.0
acc,68.80000233650208
prune_config,l1_unstructured
prune_ratio,0.6000000000000001
model_name,googlenet
batchsz_arg,16
num_workers_arg,1
chipset_name,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
arch,x86_64
l1_size,192 KiB (6 instances)
l2_size,1.5 MiB (6 instances)
