,0
vm_percent,20.633333333333336
swap_percent,0.5
cpuloadavg_1min,18.46923828125
cpuloadavg_5min,16.4703369140625
cpu_0,2819.0020000000004
cpu_1,3349.265666666666
cpu_psi_total,632481079.6666666
mem_psi_total,106372248.0
io_psi_total,30269829457.333332
acc,9.800000488758087
prune_config,l1_unstructured
prune_ratio,0.7000000000000001
model_name,resnet
batchsz_arg,128
num_workers_arg,1
chipset_name,AMD Ryzen 7 3700X 8-Core Processor
arch,x86_64
l1_size,256 KiB (8 instances)
l2_size,4 MiB (8 instances)
