,0
vm_percent,25.833333333333332
swap_percent,0.0
cpuloadavg_1min,29.017469618055554
cpuloadavg_5min,23.086208767361114
cpu_0,3731.352666666667
cpu_1,3829.980333333333
cpu_psi_total,86338097.66666667
mem_psi_total,217120.0
io_psi_total,920040299.0
acc,0.20000000949949026
prune_config,ln_structured
prune_ratio,0.30000000000000004
model_name,resnet
batchsz_arg,4
num_workers_arg,1
chipset_name,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
arch,x86_64
l1_size,192 KiB (6 instances)
l2_size,1.5 MiB (6 instances)
