,vm_percent,swap_percent,cpuloadavg_1min,cpuloadavg_5min,cpu_0,cpu_1,cpu_psi_total,mem_psi_total,io_psi_total
0,8.6,0.0,3276.3916015625,3064.373779296875,1137026.3599999999,1106547.0349999997,1852891330.0,942216.0,76835179215.0
1,9.6,0.0,3276.3916015625,3064.373779296875,1137026.3599999999,1106547.0349999997,1852891330.0,942216.0,76835179215.0
2,9.6,0.0,3276.3916015625,3064.373779296875,1137026.3599999999,1106547.0349999997,1852891330.0,942216.0,76835179215.0
3,9.8,0.0,3276.3916015625,3064.373779296875,1137026.3599999999,1106547.0349999997,1852891330.0,942216.0,76835179215.0
4,9.8,0.0,3276.3916015625,3064.373779296875,1137026.3599999999,1106547.0349999997,1852891330.0,942216.0,76835179215.0
5,9.9,0.0,3276.3916015625,3064.373779296875,1137026.3599999999,1106547.0349999997,1852891330.0,942216.0,76835179215.0
6,9.9,0.0,3276.3916015625,3064.373779296875,1137026.3599999999,1106547.0349999997,1852891330.0,942216.0,76835179215.0
7,10.0,0.0,3276.3916015625,3064.373779296875,1137026.3599999999,1106547.0349999997,1852891330.0,942216.0,76835179215.0
8,10.0,0.0,3276.3916015625,3064.373779296875,1137026.3599999999,1106547.0349999997,1852891330.0,942216.0,76835179215.0
9,10.0,0.0,3276.3916015625,3064.373779296875,1137026.3599999999,1106547.0349999997,1852891330.0,942216.0,76835179215.0
10,10.0,0.0,3276.3916015625,3064.373779296875,1137026.3599999999,1106547.0349999997,1852891330.0,942216.0,76835179215.0
11,10.0,0.0,3276.3916015625,3064.373779296875,1137026.3599999999,1106547.0349999997,1852891330.0,942216.0,76835179215.0
12,10.0,0.0,3276.3916015625,3064.373779296875,1137026.3599999999,1106547.0349999997,1852891330.0,942216.0,76835179215.0
13,10.0,0.0,3276.3916015625,3064.373779296875,1137026.3599999999,1106547.0349999997,1852891330.0,942216.0,76835179215.0
14,10.1,0.0,3276.3916015625,3064.373779296875,1137026.3599999999,1106547.0349999997,1852891330.0,942216.0,76835179215.0
15,10.1,0.0,3276.3916015625,3064.373779296875,1137026.3599999999,1106547.0349999997,1852891330.0,942216.0,76835179215.0
16,10.1,0.0,3276.3916015625,3064.373779296875,1137026.3599999999,1106547.0349999997,1852891330.0,942216.0,76835179215.0
17,10.1,0.0,3276.3916015625,3064.373779296875,1137026.3599999999,1106547.0349999997,1852891330.0,942216.0,76835179215.0
18,7.5,0.0,3276.3916015625,3064.373779296875,1137026.3599999999,1106547.0349999997,1852891330.0,942216.0,76835179215.0
19,7.4,0.0,3276.3916015625,3064.373779296875,1137026.3599999999,1106547.0349999997,1852891330.0,942216.0,76835179215.0
20,7.4,0.0,3276.3916015625,3064.373779296875,1137026.3599999999,1106547.0349999997,1852891330.0,942216.0,76835179215.0
21,7.4,0.0,3276.3916015625,3064.373779296875,1137026.3599999999,1106547.0349999997,1852891330.0,942216.0,76835179215.0
