,0
vm_percent,26.315384615384612
swap_percent,1.3000000000000003
cpuloadavg_1min,77.32622195512822
cpuloadavg_5min,79.89533253205128
acc,62.00000047683716
prune_config,ln_structured
prune_ratio,0.1
model_name,googlenet
batchsz_arg,4
num_workers_arg,8
chipset_name,Cortex-A53
arch,aarch64
l1_size,
l2_size,
