,0
vm_percent,1.3499999999999999
swap_percent,0.0
cpuloadavg_1min,6.236111111111112
cpuloadavg_5min,6.527777777777778
cpu_0,1000.06875
cpu_1,1000.62825
cpu_psi_total,601028658.25
mem_psi_total,0.0
io_psi_total,199976456.25
acc,51.00000500679016
prune_config,random_unstructured
prune_ratio,0.2
model_name,alexnet
batchsz_arg,8
num_workers_arg,4
chipset_name,Intel(R) Xeon(R) Gold 6140 CPU @ 2.30GHz
arch,x86_64
l1_size,1.1 MiB
l2_size,36 MiB
