,time,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,cpu_8,cpu_9,cpu_10,cpu_11,cpu_12,cpu_13,cpu_14,cpu_15,cpu_psi_total,cpu_psi_avg10,cpu_psi_avg60,cpu_psi_avg300,mem_psi_total,mem_psi_avg10,mem_psi_avg60,mem_psi_avg300,io_psi_total,io_psi_avg10,io_psi_avg60,io_psi_avg300,gpu_GPU_Load_1,gpu_GPU_Memory_Used_1,gpu_GPU_Total_Memory_1,cpuloadavg_1min,cpuloadavg_5min,cpuloadavg_15min,vm_total,vm_available,vm_percent,vm_used,vm_free,vm_active,vm_inactive,vm_buffers,vm_cached,vm_shared,vm_slab,swap_total,swap_used,swap_free,swap_percent,swap_sin,swap_sout,diskio_read_count,diskio_write_count,diskio_read_bytes,diskio_write_bytes,diskio_read_time,diskio_write_time,diskio_read_merged_count,diskio_write_merged_count,diskio_busy_time
0,2024-04-18 19:24:54.313649,4283.507,2110.066,2149.454,2598.928,4023.649,2112.143,2200.0,4216.529,4206.12,2110.195,2200.0,2200.0,4219.512,2111.225,2137.396,3802.281,666878260.0,0.14,0.06,0.01,106372648.0,0.0,0.0,0.0,30484785147.0,2.37,1.97,1.98,1,1205,12288,27.490234375,15.185546875,14.5172119140625,50418458624,39155761152,22.3,10367148032,6654373888,14553698304,26066997248,1518473216,31878463488,287064064,2357190656,99998494720,455307264,99543187456,0.5,1125679104,4198232064,1810653,4462397,86590738432,357620974592,37371821,176863539,307840,4938527,50860008
1,2024-04-18 19:24:56.523279,2082.72,2200.0,2200.592,2215.564,2200.0,4169.858,2200.0,2200.0,2124.519,2199.691,2200.0,2200.0,2200.0,2200.0,2200.0,2087.521,666885856.0,0.09,0.05,0.01,106372648.0,0.0,0.0,0.0,30484914039.0,3.53,2.23,2.03,4,1213,12288,26.788330078125,15.24658203125,14.5416259765625,50418458624,38354612224,23.9,11164684288,5853552640,15323656192,26066669568,1518505984,31881715712,290676736,2357620736,99998494720,455307264,99543187456,0.5,1125679104,4198232064,1810653,4462415,86590738432,357621384192,37371821,176864542,307840,4938587,50860880
2,2024-04-18 19:24:58.727669,2200.0,2200.0,3600.0,3865.557,4131.69,4131.683,4131.692,4143.617,2057.32,3452.393,2200.0,3600.0,2200.0,4149.198,2200.0,4110.659,666910363.0,0.26,0.08,0.01,106372648.0,0.0,0.0,0.0,30484914925.0,2.89,2.15,2.02,99,4459,12288,26.788330078125,15.24658203125,14.5416259765625,50418458624,38034620416,24.6,11333767168,5533556736,15561216000,26066673664,1518505984,32032628736,441585664,2362757120,99998494720,455307264,99543187456,0.5,1125679104,4198232064,1810653,4462415,86590738432,357621384192,37371821,176864542,307840,4938587,50860880
