,0
vm_percent,84.37384615384616
swap_percent,18.715384615384615
cpuloadavg_1min,89.23723791399573
cpuloadavg_5min,84.5081296741453
acc,31.999999284744263
prune_config,ln_structured
prune_ratio,0.5
model_name,vgg16
batchsz_arg,8
num_workers_arg,4
chipset_name,Cortex-A53
arch,aarch64
l1_size,
l2_size,
