,time,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,cpu_8,cpu_9,cpu_10,cpu_11,cpu_psi_total,cpu_psi_avg10,cpu_psi_avg60,cpu_psi_avg300,mem_psi_total,mem_psi_avg10,mem_psi_avg60,mem_psi_avg300,io_psi_total,io_psi_avg10,io_psi_avg60,io_psi_avg300,gpu_GPU_Load_1,gpu_GPU_Memory_Used_1,gpu_GPU_Total_Memory_1,cpuloadavg_1min,cpuloadavg_5min,cpuloadavg_15min,vm_total,vm_available,vm_percent,vm_used,vm_free,vm_active,vm_inactive,vm_buffers,vm_cached,vm_shared,vm_slab,swap_total,swap_used,swap_free,swap_percent,swap_sin,swap_sout,diskio_read_count,diskio_write_count,diskio_read_bytes,diskio_write_bytes,diskio_read_time,diskio_write_time,diskio_read_merged_count,diskio_write_merged_count,diskio_busy_time
0,2024-04-18 18:55:39.790727,4187.123,4157.278,4190.324,4194.832,4162.868,4134.116,4166.017,4194.939,4157.959,4198.804,4080.573,4190.039,130708681.0,0.82,0.57,0.56,220651.0,0.0,0.0,0.0,973237458.0,0.98,1.71,1.22,2,16,4096,19.53125,16.902669270833336,15.889485677083334,16591138816,12710187008,23.4,2935218176,1960718336,4576022528,8545681408,217915392,11477286912,595836928,808767488,32766947328,274432,32766672896,0.0,0,61440,114375,130068,4788764160,15672514560,1945565,5006990,25303,221824,2187212
1,2024-04-18 18:55:42.047707,3618.432,3555.095,800.0,3574.329,800.0,3621.782,3606.888,800.0,3629.804,3601.267,800.0,3646.56,130740080.0,0.85,0.59,0.56,220651.0,0.0,0.0,0.0,973440826.0,0.99,1.68,1.22,0,19,4096,19.53125,16.902669270833336,15.889485677083334,16591138816,12194234368,26.5,3446206464,1420697600,5054308352,8564211712,223690752,11500544000,600817664,815022080,32766947328,274432,32766672896,0.0,0,61440,114376,130109,4788768256,15682058240,1945598,5008184,25303,223352,2187784
2,2024-04-18 18:55:44.274276,4201.905,4259.235,800.0,800.0,800.0,4195.07,800.0,800.0,4237.044,800.0,800.0,4254.132,130794259.0,0.7,0.57,0.55,220651.0,0.0,0.0,0.0,973647114.0,3.71,2.15,1.32,35,3877,4096,19.53125,16.902669270833336,15.889485677083334,16591138816,11821867008,28.7,3511033856,1048301568,5339975680,8564236288,223715328,11808088064,908357632,825266176,32766947328,274432,32766672896,0.0,0,61440,114376,130124,4788768256,15682205696,1945598,5009070,25303,223365,2188668
